time_after_step_us,Vout,Iload,N_active,IL1,QH1,IL2,QH2,IL3,QH3,IL4,QH4,phase_add_request,phase_add_accept,phase_add_reject,new_phase_ramp_state,balance_recovery_state,a_S_mode
-449.634,0.996385918154336,20,2,-1.75294073582072,0,-1.75294073582082,0,-1.75294073582079,0,-1.75294073582096,0,0,0,0,0,0,0
-449.614,0.996275813047243,20,2,-1.85059186523354,0,-1.85059186523366,0,-1.85059186523362,0,-1.85059186523381,0,0,0,0,0,0,0
-449.592,0.996153504636549,20,2,-1.95787134129826,0,-1.95787134129839,0,-1.95787134129835,0,-1.95787134129856,0,0,0,0,0,0,0
-449.572,0.996041232220111,20,2,-2.05527383406125,0,-2.05527383406139,0,-2.05527383406134,0,-2.05527383406157,0,0,0,0,0,0,0
-449.55,0.995916542909566,20,2,-2.16227987550875,0,-2.16227987550891,0,-2.16227987550886,0,-2.16227987550912,0,0,0,0,0,0,0
-449.53,0.99580210889289,20,2,-2.25943385129905,0,-2.25943385129923,0,-2.25943385129916,0,-2.25943385129945,0,0,0,0,0,0,0
-449.51,0.995725314681412,20,2,-1.92923367097569,0,-2.35646994962812,0,-2.35646994962806,0,-2.35646994962837,0,0,0,0,0,0,0
-449.492,0.995720289369949,20,2,-0.934682564024987,1,-2.44370862367172,0,-2.44370862367165,0,-2.44370862367198,0,0,0,0,0,0,0
-449.47,0.995716212711508,20,2,0.276183264220849,1,-2.5502159898987,0,-2.55021598989863,0,-2.55021598989899,0,0,0,0,0,0,0
-449.45,0.995714760265919,20,2,1.37570307402924,1,-2.64692906937012,0,-2.64692906937004,0,-2.64692906937043,0,0,0,0,0,0,0
-449.428,0.995715643886183,20,2,2.58377877946458,1,-2.75319061952922,0,-2.75319061952913,0,-2.75319061952955,0,0,0,0,0,0,0
-449.408,0.995718700266729,20,2,3.68076146124421,1,-2.84968071821225,0,-2.84968071821216,0,-2.84968071821261,0,0,0,0,0,0,0
-449.386,0.995724537678181,20,2,4.8860490272302,1,-2.95569779278362,0,-2.95569779278352,0,-2.95569779278401,0,0,0,0,0,0,0
-449.366,0.995732092126592,20,2,5.98049949035092,1,-3.05196636980133,0,-3.05196636980122,0,-3.05196636980174,0,0,0,0,0,0,0
-449.344,0.995742871497221,20,2,7.18300431220245,1,-3.15774057072586,0,-3.15774057072575,0,-3.1577405707263,0,0,0,0,0,0,0
-449.324,0.995754913259028,20,2,8.2749274569628,1,-3.25378907957838,0,-3.25378907957826,0,-3.25378907957885,0,0,0,0,0,0,0
-449.31,0.995712250411534,20,2,8.46082647192408,0,-3.32095948715055,0,-3.32095948715042,0,-3.32095948715104,0,0,0,0,0,0,0
-449.29,0.995616405036401,20,2,8.3478375611916,0,-3.41681982310999,0,-3.41681982310985,0,-3.4168198231105,0,0,0,0,0,0,0
-449.268,0.995510180922242,20,2,8.22830607584765,0,-3.5221337028807,0,-3.52213370288056,0,-3.52213370288126,0,0,0,0,0,0,0
-449.248,0.995412513920445,20,2,8.11977660371097,0,-3.61775288621127,0,-3.61775288621113,0,-3.61775288621186,0,0,0,0,0,0,0
-449.226,0.995303872227618,20,2,8.00054320457193,0,-3.72280123660753,0,-3.72280123660737,0,-3.72280123660814,0,0,0,0,0,0,0
-449.206,0.99520401028488,20,2,7.89228463785326,0,-3.81817907775496,0,-3.81817907775479,0,-3.8181790777556,0,0,0,0,0,0,0
-449.184,0.995092957299825,20,2,7.77334914419954,0,-3.92296200499573,0,-3.92296200499555,0,-3.92296200499642,0,0,0,0,0,0,0
-449.164,0.994990906129608,20,2,7.66536131819815,0,-4.01809860101092,0,-4.01809860101073,0,-4.01809860101164,0,0,0,0,0,0,0
