block_path,block_type,mask_type,parameter,value,value_class
"four_phase_ideal_digital_iqcot/Mosfet/Diode",SubSystem,Diode,Ron,"Rd",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet/Ideal Switch",SubSystem,Ideal Switch,Ron,"Ron",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet1",SubSystem,Mosfet,Ron,"Ron_HS",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet1/Diode",SubSystem,Diode,Ron,"Rd",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet1/Ideal Switch",SubSystem,Ideal Switch,Ron,"Ron",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet2",SubSystem,Mosfet,Ron,"Ron_HS",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet2/Diode",SubSystem,Diode,Ron,"Rd",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet2/Ideal Switch",SubSystem,Ideal Switch,Ron,"Ron",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet3",SubSystem,Mosfet,Ron,"Ron_HS",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet3/Diode",SubSystem,Diode,Ron,"Rd",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet3/Ideal Switch",SubSystem,Ideal Switch,Ron,"Ron",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet4",SubSystem,Mosfet,Ron,"Ron_LS",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet4/Diode",SubSystem,Diode,Ron,"Rd",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet4/Ideal Switch",SubSystem,Ideal Switch,Ron,"Ron",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet5",SubSystem,Mosfet,Ron,"Ron_LS",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet5/Diode",SubSystem,Diode,Ron,"Rd",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet5/Ideal Switch",SubSystem,Ideal Switch,Ron,"Ron",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet6",SubSystem,Mosfet,Ron,"Ron_LS",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet6/Diode",SubSystem,Diode,Ron,"Rd",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet6/Ideal Switch",SubSystem,Ideal Switch,Ron,"Ron",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet7",SubSystem,Mosfet,Ron,"Ron_LS",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet7/Diode",SubSystem,Diode,Ron,"Rd",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet7/Ideal Switch",SubSystem,Ideal Switch,Ron,"Ron",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet",SubSystem,Mosfet,Rs,"Rs_snubber",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet/Diode",SubSystem,Diode,Rs,"inf",numeric_literal
"four_phase_ideal_digital_iqcot/Mosfet/Ideal Switch",SubSystem,Ideal Switch,Rs,"Rs",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet1",SubSystem,Mosfet,Rs,"Rs_snubber",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet1/Diode",SubSystem,Diode,Rs,"inf",numeric_literal
"four_phase_ideal_digital_iqcot/Mosfet1/Ideal Switch",SubSystem,Ideal Switch,Rs,"Rs",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet2",SubSystem,Mosfet,Rs,"Rs_snubber",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet2/Diode",SubSystem,Diode,Rs,"inf",numeric_literal
"four_phase_ideal_digital_iqcot/Mosfet2/Ideal Switch",SubSystem,Ideal Switch,Rs,"Rs",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet3",SubSystem,Mosfet,Rs,"Rs_snubber",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet3/Diode",SubSystem,Diode,Rs,"inf",numeric_literal
"four_phase_ideal_digital_iqcot/Mosfet3/Ideal Switch",SubSystem,Ideal Switch,Rs,"Rs",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet4",SubSystem,Mosfet,Rs,"Rs_snubber",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet4/Diode",SubSystem,Diode,Rs,"inf",numeric_literal
"four_phase_ideal_digital_iqcot/Mosfet4/Ideal Switch",SubSystem,Ideal Switch,Rs,"Rs",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet5",SubSystem,Mosfet,Rs,"Rs_snubber",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet5/Diode",SubSystem,Diode,Rs,"inf",numeric_literal
"four_phase_ideal_digital_iqcot/Mosfet5/Ideal Switch",SubSystem,Ideal Switch,Rs,"Rs",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet6",SubSystem,Mosfet,Rs,"Rs_snubber",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet6/Diode",SubSystem,Diode,Rs,"inf",numeric_literal
"four_phase_ideal_digital_iqcot/Mosfet6/Ideal Switch",SubSystem,Ideal Switch,Rs,"Rs",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet7",SubSystem,Mosfet,Rs,"Rs_snubber",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet7/Diode",SubSystem,Diode,Rs,"inf",numeric_literal
"four_phase_ideal_digital_iqcot/Mosfet7/Ideal Switch",SubSystem,Ideal Switch,Rs,"Rs",variable_or_expression
"four_phase_ideal_digital_iqcot/Add",Sum,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Add1",Sum,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Add2",Sum,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Add3",Sum,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Add4",Sum,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase1/Compare
To Constant",RelationalOperator,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase1/Compare
To Constant1/Compare",RelationalOperator,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase1/Compare
To Constant1/Constant",Constant,,SampleTime,"inf",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase1/Compare
To Constant1/u",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase1/Compare
To Constant1/y",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase1/Compare
To Constant2/Compare",RelationalOperator,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase1/Compare
To Constant2/Constant",Constant,,SampleTime,"inf",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase1/Compare
To Constant2/u",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase1/Compare
To Constant2/y",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase1/Compare
To Constant3/Compare",RelationalOperator,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase1/Compare
To Constant3/Constant",Constant,,SampleTime,"inf",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase1/Compare
To Constant3/u",Inport,,SampleTime,"-1",numeric_literal
