variant,event_index,time_us,REQ_phase,REQ_accept_phase,phase_idx,REQ_reject_reason,model_phase_order_error_sample,active_HS_phase
R1-T4a,178,85.3510000000069,1,1,0,1,0,0
R1-T4a,179,85.8320000000001,2,2,1,1,0,0
R1-T4a,180,86.3130000000001,3,3,2,1,0,0
R1-T4a,181,86.794000000007,4,4,3,1,0,0
R1-T4a,182,87.275000000007,1,1,0,1,0,0
R1-T4a,183,87.756000000007,2,2,1,1,0,0
R1-T4a,184,88.237000000007,3,3,2,1,0,0
R1-T4a,185,88.7180000000069,4,4,3,1,0,0
R1-T4a,186,89.1990000000001,1,1,0,1,0,0
R1-T4a,187,89.6800000000001,2,2,1,0,1,0
R1-T4b,1,0.214000000000063,4,4,3,1,0,0
R1-T4b,2,0.695000000000047,1,1,0,0,0,0
R1-T4b,3,1.1760000000035,2,2,1,1,0,0
R1-T4b,4,1.65700000000348,3,3,2,1,0,0
R1-T4b,5,2.13800000000005,4,4,3,1,0,0
R1-T4b,6,2.61900000000004,1,1,0,1,0,0
R1-T4b,7,3.10000000000349,2,2,1,1,0,0
R1-T4b,8,3.58100000000006,3,3,2,1,0,0
R1-T4b,9,4.06200000000004,4,4,3,1,0,0
R1-T4b,10,4.5430000000035,1,1,0,1,0,0
R1-T4b,11,5.02400000000007,2,2,1,1,0,0
R1-T4b,12,5.50500000000005,3,3,2,0,0,0
R1-T4b,13,5.9860000000035,4,4,3,1,0,0
R1-T4b,14,6.46700000000349,1,1,0,1,0,0
R1-T4b,15,6.94800000000006,2,2,1,1,0,0
R1-T4b,16,7.42900000000004,3,3,2,1,0,0
R1-T4b,17,7.91000000000349,4,4,3,1,0,0
R1-T4b,18,8.39100000000006,1,1,0,1,0,0
R1-T4b,19,8.87200000000005,2,2,1,1,0,0
R1-T4b,20,9.3530000000035,3,3,2,1,0,0
R1-T4b,21,9.83400000000348,4,4,3,1,0,0
R1-T4b,22,10.3150000000001,1,1,0,0,0,0
R1-T4b,23,10.796,2,2,1,1,0,0
R1-T4b,24,11.2770000000035,3,3,2,1,0,0
R1-T4b,25,11.7580000000001,4,4,3,1,0,0
R1-T4b,26,12.239,1,1,0,1,0,0
R1-T4b,27,12.7200000000035,2,2,1,1,0,0
R1-T4b,28,13.2010000000001,3,3,2,1,0,0
R1-T4b,29,13.6820000000001,4,4,3,1,0,0
R1-T4b,30,14.1630000000035,1,1,0,1,0,0
R1-T4b,31,14.6440000000035,2,2,1,1,0,0
R1-T4b,32,15.1250000000001,3,3,2,0,0,0
R1-T4b,33,15.606,4,4,3,1,0,0
R1-T4b,34,16.0870000000035,1,1,0,1,0,0
R1-T4b,35,16.5680000000001,2,2,1,1,0,0
R1-T4b,36,17.049,3,3,2,1,0,0
R1-T4b,37,17.5300000000035,4,4,3,1,0,0
R1-T4b,38,18.0110000000035,1,1,0,1,0,0
R1-T4b,39,18.4920000000001,2,2,1,1,0,0
R1-T4b,40,18.9730000000035,3,3,2,1,0,0
R1-T4b,41,19.4540000000035,4,4,3,1,0,0
R1-T4b,42,19.9350000000001,1,1,0,0,0,0
R1-T4b,43,20.416,2,2,1,1,0,0
R1-T4b,44,20.8970000000035,3,3,2,1,0,0
R1-T4b,45,21.3780000000001,4,4,3,1,0,0
R1-T4b,46,21.859,1,1,0,1,0,0
R1-T4b,47,22.3400000000035,2,2,1,1,0,0
R1-T4b,48,22.8210000000035,3,3,2,1,0,0
R1-T4b,49,23.3020000000001,4,4,3,1,0,0
R1-T4b,50,23.783,1,1,0,1,0,0
R1-T4b,51,24.2640000000035,2,2,1,1,0,0
R1-T4b,52,24.7450000000001,3,3,2,0,0,0
R1-T4b,53,25.226,4,4,3,1,0,0
R1-T4b,54,25.7070000000035,1,1,0,1,0,0
R1-T4b,55,26.1880000000001,2,2,1,1,0,0
R1-T4b,56,26.6690000000001,3,3,2,1,0,0
R1-T4b,57,27.1500000000035,4,4,3,1,0,0
R1-T4b,58,27.6310000000035,1,1,0,1,0,0
R1-T4b,59,28.1120000000001,2,2,1,1,0,0
R1-T4b,60,28.593,3,3,2,1,0,0
R1-T4b,61,29.0740000000035,4,4,3,1,0,0
R1-T4b,62,29.5550000000001,1,1,0,0,0,0
R1-T4b,63,30.036,2,2,1,1,0,0
R1-T4b,64,30.5170000000035,3,3,2,1,0,0
R1-T4b,65,30.9980000000035,4,4,3,1,0,0
R1-T4b,66,31.4790000000001,1,1,0,1,0,0
R1-T4b,67,31.96,2,2,1,0,0,0
R1-T4b,68,32.4410000000035,3,3,2,1,0,0
R1-T4b,69,32.9220000000001,4,4,3,1,0,0
R1-T4b,70,33.403,1,1,0,1,0,0
R1-T4b,71,33.8840000000035,2,2,1,1,0,0
R1-T4b,72,34.3650000000001,3,3,2,0,0,0
R1-T4b,73,34.8460000000001,4,4,3,1,0,0
R1-T4b,74,35.3270000000035,1,1,0,1,0,0
R1-T4b,75,35.8080000000035,2,2,1,1,0,0
R1-T4b,76,36.2890000000001,3,3,2,1,0,0
R1-T4b,77,36.77,4,4,3,0,0,0
R1-T4b,78,37.2510000000035,1,1,0,1,0,0
R1-T4b,79,37.7320000000001,2,2,1,1,0,0
R1-T4b,80,38.2130000000001,3,3,2,1,0,0
R1-T4b,81,38.694000000007,4,4,3,1,0,0
R1-T4b,82,39.175000000007,1,1,0,1,0,0
R1-T4b,83,39.6560000000069,2,2,1,1,0,0
R1-T4b,84,40.1370000000001,3,3,2,1,0,0
R1-T4b,85,40.6180000000001,4,4,3,1,0,0
R1-T4b,86,41.099000000007,1,1,0,1,0,0
R1-T4b,87,41.580000000007,2,2,1,1,0,0
R1-T4b,88,42.061000000007,3,3,2,1,0,0
R1-T4b,89,42.542000000007,4,4,3,1,0,0
R1-T4b,90,43.0230000000069,1,1,0,1,0,0
R1-T4b,91,43.5040000000001,2,2,1,1,0,0
R1-T4b,92,43.9850000000001,3,3,2,0,0,0
R1-T4b,93,44.466000000007,4,4,3,1,0,0
R1-T4b,94,44.947000000007,1,1,0,1,0,0
R1-T4b,95,45.428000000007,2,2,1,1,0,0
R1-T4b,96,45.9090000000069,3,3,2,1,0,0
R1-T4b,97,46.3900000000069,4,4,3,1,0,0
R1-T4b,98,46.8710000000001,1,1,0,1,0,0
R1-T4b,99,47.3520000000001,2,2,1,1,0,0
R1-T4b,100,47.833000000007,3,3,2,1,0,0
R1-T4b,101,48.314000000007,4,4,3,1,0,0
R1-T4b,102,48.795000000007,1,1,0,1,0,0
R1-T4b,103,49.2760000000069,2,2,1,1,0,0
R1-T4b,104,49.7570000000069,3,3,2,1,0,0
R1-T4b,105,50.2380000000001,4,4,3,1,0,0
R1-T4b,106,50.7190000000001,1,1,0,1,0,0
R1-T4b,107,51.200000000007,2,2,1,1,0,0
R1-T4b,108,51.681000000007,3,3,2,1,0,0
R1-T4b,109,52.162000000007,4,4,3,1,0,0
R1-T4b,110,52.6430000000069,1,1,0,1,0,0
R1-T4b,111,53.1240000000001,2,2,1,1,0,0
R1-T4b,112,53.6050000000001,3,3,2,0,0,0
R1-T4b,113,54.086000000007,4,4,3,1,0,0
R1-T4b,114,54.567000000007,1,1,0,1,0,0
R1-T4b,115,55.048000000007,2,2,1,1,0,0
R1-T4b,116,55.529000000007,3,3,2,1,0,0
R1-T4b,117,56.0100000000069,4,4,3,1,0,0
R1-T4b,118,56.4910000000001,1,1,0,1,0,0
R1-T4b,119,56.9720000000001,2,2,1,1,0,0
R1-T4b,120,57.453000000007,3,3,2,1,0,0
R1-T4b,121,57.934000000007,4,4,3,1,0,0
R1-T4b,122,58.415000000007,1,1,0,1,0,0
R1-T4b,123,58.8960000000069,2,2,1,1,0,0
R1-T4b,124,59.3770000000069,3,3,2,1,0,0
R1-T4b,125,59.8580000000001,4,4,3,1,0,0
R1-T4b,126,60.3390000000001,1,1,0,1,0,0
R1-T4b,127,60.820000000007,2,2,1,1,0,0
R1-T4b,128,61.301000000007,3,3,2,1,0,0
R1-T4b,129,61.782000000007,4,4,3,1,0,0
R1-T4b,130,62.2630000000069,1,1,0,1,0,0
R1-T4b,131,62.7440000000069,2,2,1,1,0,0
R1-T4b,132,63.2250000000001,3,3,2,0,0,0
R1-T4b,133,63.7060000000001,4,4,3,1,0,0
R1-T4b,134,64.187000000007,1,1,0,1,0,0
R1-T4b,135,64.668000000007,2,2,1,1,0,0
R1-T4b,136,65.149000000007,3,3,2,1,0,0
R1-T4b,137,65.6300000000069,4,4,3,1,0,0
R1-T4b,138,66.1110000000069,1,1,0,1,0,0
R1-T4b,139,66.5920000000001,2,2,1,1,0,0
R1-T4b,140,67.0730000000001,3,3,2,1,0,0
R1-T4b,141,67.554000000007,4,4,3,1,0,0
R1-T4b,142,68.035000000007,1,1,0,1,0,0
R1-T4b,143,68.516000000007,2,2,1,1,0,0
R1-T4b,144,68.9970000000069,3,3,2,1,0,0
R1-T4b,145,69.4780000000001,4,4,3,1,0,0
R1-T4b,146,69.9590000000001,1,1,0,1,0,0
R1-T4b,147,70.440000000007,2,2,1,1,0,0
R1-T4b,148,70.921000000007,3,3,2,1,0,0
R1-T4b,149,71.402000000007,4,4,3,1,0,0
R1-T4b,150,71.883000000007,1,1,0,1,0,0
R1-T4b,151,72.3640000000069,2,2,1,1,0,0
R1-T4b,152,72.8450000000001,3,3,2,0,0,0
R1-T4b,153,73.3260000000001,4,4,3,1,0,0
R1-T4b,154,73.807000000007,1,1,0,1,0,0
R1-T4b,155,74.288000000007,2,2,1,1,0,0
R1-T4b,156,74.769000000007,3,3,2,1,0,0
R1-T4b,157,75.2500000000069,4,4,3,1,0,0
R1-T4b,158,75.7310000000069,1,1,0,1,0,0
R1-T4b,159,76.2120000000001,2,2,1,1,0,0
R1-T4b,160,76.6930000000001,3,3,2,1,0,0
R1-T4b,161,77.174000000007,4,4,3,1,0,0
R1-T4b,162,77.655000000007,1,1,0,1,0,0
R1-T4b,163,78.136000000007,2,2,1,1,0,0
R1-T4b,164,78.617000000007,3,3,2,1,0,0
R1-T4b,165,79.0980000000069,4,4,3,1,0,0
R1-T4b,166,79.5790000000001,1,1,0,1,0,0
R1-T4b,167,80.0600000000001,2,2,1,0,0,0
R1-T4b,168,80.541000000007,3,3,2,1,0,0
R1-T4b,169,81.022000000007,4,4,3,1,0,0
R1-T4b,170,81.503000000007,1,1,0,1,0,0
R1-T4b,171,81.9840000000069,2,2,1,1,0,0
R1-T4b,172,82.4650000000001,3,3,2,0,0,0
R1-T4b,173,82.9460000000001,4,4,3,1,0,0
R1-T4b,174,83.427000000007,1,1,0,1,0,0
R1-T4b,175,83.908000000007,2,2,1,1,0,0
R1-T4b,176,84.389000000007,3,3,2,1,0,0
R1-T4b,177,84.870000000007,4,4,3,1,0,0
R1-T4b,178,85.3510000000069,1,1,0,1,0,0
R1-T4b,179,85.8320000000001,2,2,1,1,0,0
R1-T4b,180,86.3130000000001,3,3,2,1,0,0
R1-T4b,181,86.794000000007,4,4,3,1,0,0
R1-T4b,182,87.275000000007,1,1,0,1,0,0
R1-T4b,183,87.756000000007,2,2,1,1,0,0
R1-T4b,184,88.237000000007,3,3,2,1,0,0
R1-T4b,185,88.7180000000069,4,4,3,1,0,0
R1-T4b,186,89.1990000000001,1,1,0,1,0,0
R1-T4b,187,89.6800000000001,2,2,1,0,1,0
R1-T4c,1,0.214000000000063,4,4,3,1,0,0
R1-T4c,2,0.695000000000047,1,1,0,0,0,0
R1-T4c,3,1.1760000000035,2,2,1,1,0,0
R1-T4c,4,1.65700000000348,3,3,2,1,0,0
R1-T4c,5,2.13800000000005,4,4,3,1,0,0
R1-T4c,6,2.61900000000004,1,1,0,1,0,0
R1-T4c,7,3.10000000000349,2,2,1,1,0,0
R1-T4c,8,3.58100000000006,3,3,2,1,0,0
R1-T4c,9,4.06200000000004,4,4,3,1,0,0
R1-T4c,10,4.5430000000035,1,1,0,1,0,0
R1-T4c,11,5.02400000000007,2,2,1,1,0,0
R1-T4c,12,5.50500000000005,3,3,2,0,0,0
R1-T4c,13,5.9860000000035,4,4,3,1,0,0
R1-T4c,14,6.46700000000349,1,1,0,1,0,0
R1-T4c,15,6.94800000000006,2,2,1,1,0,0
R1-T4c,16,7.42900000000004,3,3,2,1,0,0
R1-T4c,17,7.91000000000349,4,4,3,1,0,0
R1-T4c,18,8.39100000000006,1,1,0,1,0,0
R1-T4c,19,8.87200000000005,2,2,1,1,0,0
R1-T4c,20,9.3530000000035,3,3,2,1,0,0
R1-T4c,21,9.83400000000348,4,4,3,1,0,0
R1-T4c,22,10.3150000000001,1,1,0,0,0,0
R1-T4c,23,10.796,2,2,1,1,0,0
R1-T4c,24,11.2770000000035,3,3,2,1,0,0
R1-T4c,25,11.7580000000001,4,4,3,1,0,0
R1-T4c,26,12.239,1,1,0,1,0,0
R1-T4c,27,12.7200000000035,2,2,1,1,0,0
R1-T4c,28,13.2010000000001,3,3,2,1,0,0
R1-T4c,29,13.6820000000001,4,4,3,1,0,0
R1-T4c,30,14.1630000000035,1,1,0,1,0,0
R1-T4c,31,14.6440000000035,2,2,1,1,0,0
R1-T4c,32,15.1250000000001,3,3,2,0,0,0
R1-T4c,33,15.606,4,4,3,1,0,0
R1-T4c,34,16.0870000000035,1,1,0,1,0,0
R1-T4c,35,16.5680000000001,2,2,1,1,0,0
R1-T4c,36,17.049,3,3,2,1,0,0
R1-T4c,37,17.5300000000035,4,4,3,1,0,0
R1-T4c,38,18.0110000000035,1,1,0,1,0,0
R1-T4c,39,18.4920000000001,2,2,1,1,0,0
R1-T4c,40,18.9730000000035,3,3,2,1,0,0
R1-T4c,41,19.4540000000035,4,4,3,1,0,0
R1-T4c,42,19.9350000000001,1,1,0,0,0,0
R1-T4c,43,20.416,2,2,1,1,0,0
R1-T4c,44,20.8970000000035,3,3,2,1,0,0
R1-T4c,45,21.3780000000001,4,4,3,1,0,0
R1-T4c,46,21.859,1,1,0,1,0,0
R1-T4c,47,22.3400000000035,2,2,1,1,0,0
R1-T4c,48,22.8210000000035,3,3,2,1,0,0
R1-T4c,49,23.3020000000001,4,4,3,1,0,0
R1-T4c,50,23.783,1,1,0,1,0,0
R1-T4c,51,24.2640000000035,2,2,1,1,0,0
R1-T4c,52,24.7450000000001,3,3,2,0,0,0
R1-T4c,53,25.226,4,4,3,1,0,0
R1-T4c,54,25.7070000000035,1,1,0,1,0,0
R1-T4c,55,26.1880000000001,2,2,1,1,0,0
R1-T4c,56,26.6690000000001,3,3,2,1,0,0
R1-T4c,57,27.1500000000035,4,4,3,1,0,0
R1-T4c,58,27.6310000000035,1,1,0,1,0,0
R1-T4c,59,28.1120000000001,2,2,1,1,0,0
R1-T4c,60,28.593,3,3,2,1,0,0
R1-T4c,61,29.0740000000035,4,4,3,1,0,0
R1-T4c,62,29.5550000000001,1,1,0,0,0,0
R1-T4c,63,30.036,2,2,1,1,0,0
R1-T4c,64,30.5170000000035,3,3,2,1,0,0
R1-T4c,65,30.9980000000035,4,4,3,1,0,0
R1-T4c,66,31.4790000000001,1,1,0,1,0,0
R1-T4c,67,31.96,2,2,1,0,0,0
R1-T4c,68,32.4410000000035,3,3,2,1,0,0
R1-T4c,69,32.9220000000001,4,4,3,1,0,0
R1-T4c,70,33.403,1,1,0,1,0,0
R1-T4c,71,33.8840000000035,2,2,1,1,0,0
R1-T4c,72,34.3650000000001,3,3,2,0,0,0
R1-T4c,73,34.8460000000001,4,4,3,1,0,0
R1-T4c,74,35.3270000000035,1,1,0,1,0,0
R1-T4c,75,35.8080000000035,2,2,1,1,0,0
R1-T4c,76,36.2890000000001,3,3,2,1,0,0
R1-T4c,77,36.77,4,4,3,0,0,0
R1-T4c,78,37.2510000000035,1,1,0,1,0,0
R1-T4c,79,37.7320000000001,2,2,1,1,0,0
R1-T4c,80,38.2130000000001,3,3,2,1,0,0
R1-T4c,81,38.694000000007,4,4,3,1,0,0
R1-T4c,82,39.175000000007,1,1,0,1,0,0
R1-T4c,83,39.6560000000069,2,2,1,1,0,0
R1-T4c,84,40.1370000000001,3,3,2,1,0,0
R1-T4c,85,40.6180000000001,4,4,3,1,0,0
R1-T4c,86,41.099000000007,1,1,0,1,0,0
R1-T4c,87,41.580000000007,2,2,1,1,0,0
R1-T4c,88,42.061000000007,3,3,2,1,0,0
R1-T4c,89,42.542000000007,4,4,3,1,0,0
R1-T4c,90,43.0230000000069,1,1,0,1,0,0
R1-T4c,91,43.5040000000001,2,2,1,1,0,0
R1-T4c,92,43.9850000000001,3,3,2,0,0,0
R1-T4c,93,44.466000000007,4,4,3,1,0,0
R1-T4c,94,44.947000000007,1,1,0,1,0,0
R1-T4c,95,45.428000000007,2,2,1,1,0,0
R1-T4c,96,45.9090000000069,3,3,2,1,0,0
R1-T4c,97,46.3900000000069,4,4,3,1,0,0
R1-T4c,98,46.8710000000001,1,1,0,1,0,0
R1-T4c,99,47.3520000000001,2,2,1,1,0,0
R1-T4c,100,47.833000000007,3,3,2,1,0,0
R1-T4c,101,48.314000000007,4,4,3,1,0,0
R1-T4c,102,48.795000000007,1,1,0,1,0,0
R1-T4c,103,49.2760000000069,2,2,1,1,0,0
R1-T4c,104,49.7570000000069,3,3,2,1,0,0
R1-T4c,105,50.2380000000001,4,4,3,1,0,0
R1-T4c,106,50.7190000000001,1,1,0,1,0,0
R1-T4c,107,51.200000000007,2,2,1,1,0,0
R1-T4c,108,51.681000000007,3,3,2,1,0,0
R1-T4c,109,52.162000000007,4,4,3,1,0,0
R1-T4c,110,52.6430000000069,1,1,0,1,0,0
R1-T4c,111,53.1240000000001,2,2,1,1,0,0
