variant,signal,available,sample_count,finite,note
R1-T4c,a_O_state,1,1,1,logged
R1-T4c,severe_drop_detected,1,13501,1,logged
R1-T4c,pulse_inhibit_state,1,541742,1,logged
R1-T4c,area_hold_state,1,13501,1,logged
R1-T4c,area_hold_count,1,13501,1,logged
R1-T4c,area_reset_count,1,13501,1,logged
R1-T4c,area_bleed_count,1,13501,1,logged
R1-T4c,reentry_state,1,13501,1,logged
R1-T4c,fallback_state,1,1,1,logged
R1-T4c,fallback_count,1,1,1,logged
R1-T4c,fallback_reason,1,1,1,logged
R1-T4c,current_limit_hit,1,13501,1,logged
R1-T4c,phase_order_error,1,13501,1,logged
R1-T4c,burst_pulse_count_after_reentry,1,1,1,logged
R1-T4c,controlled_reentry_active,1,108001,1,logged
R1-T4c,burst_limiter_state,1,108001,1,logged
R1-T4c,area_int_reentry_clamp,1,108001,1,logged
R1-T4c,burst_limiter_clamp_count,1,108001,1,logged
R1-T4c,burst_limiter_release_count,1,108001,1,logged
R1-T4c,burst_limiter_fallback_reason,1,108001,1,logged
R1-T4c,recovery_Ton_ramp_usage,1,432004,1,logged
