variant,event_index,time_us,REQ_phase,REQ_accept_phase
R3-E1,146,69.9590000000001,1,1
R3-E1,147,70.440000000007,2,2
R3-E1,148,70.921000000007,3,3
R3-E1,149,71.402000000007,4,4
R3-E1,150,71.883000000007,1,1
R3-E1,151,72.3640000000069,2,2
R3-E1,152,72.8450000000001,3,3
R3-E1,153,73.3260000000001,4,4
R3-E1,154,73.807000000007,1,1
R3-E1,155,74.288000000007,2,2
R3-E1,156,74.769000000007,3,3
R3-E1,157,75.2500000000069,4,4
R3-E1,158,75.7310000000069,1,1
R3-E1,159,76.2120000000001,2,2
R3-E1,160,76.6930000000001,3,3
R3-E1,161,77.174000000007,4,4
R3-E1,162,77.655000000007,1,1
R3-E1,163,78.136000000007,2,2
R3-E1,164,78.617000000007,3,3
R3-E1,165,79.0980000000069,4,4
R3-E1,166,79.5790000000001,1,1
R3-E1,167,80.0600000000001,2,2
R3-E1,168,80.541000000007,3,3
R3-E1,169,81.022000000007,4,4
R3-E1,170,81.503000000007,1,1
R3-E1,171,81.9840000000069,2,2
R3-E1,172,82.4650000000001,3,3
R3-E1,173,82.9460000000001,4,4
R3-E1,174,83.427000000007,1,1
R3-E1,175,83.908000000007,2,2
R3-E1,176,84.389000000007,3,3
R3-E1,177,84.870000000007,4,4
R3-E1,178,85.3510000000069,1,1
R3-E1,179,85.8320000000001,2,2
R3-E1,180,86.3130000000001,3,3
R3-E1,181,86.794000000007,4,4
R3-E1,182,87.275000000007,1,1
R3-E1,183,87.756000000007,2,2
R3-E1,184,88.237000000007,3,3
R3-E1,185,88.7180000000069,4,4
R3-E1,186,89.1990000000001,1,1
R3-E1,187,89.6800000000001,2,2
R3-E2,1,0.214000000000063,4,4
R3-E2,2,0.695000000000047,1,1
R3-E2,3,1.1760000000035,2,2
R3-E2,4,1.65700000000348,3,3
R3-E2,5,2.13800000000005,4,4
R3-E2,6,2.61900000000004,1,1
R3-E2,7,3.10000000000349,2,2
R3-E2,8,3.58100000000006,3,3
R3-E2,9,4.06200000000004,4,4
R3-E2,10,4.5430000000035,1,1
R3-E2,11,5.02400000000007,2,2
R3-E2,12,5.50500000000005,3,3
R3-E2,13,5.9860000000035,4,4
R3-E2,14,6.46700000000349,1,1
R3-E2,15,6.94800000000006,2,2
R3-E2,16,7.42900000000004,3,3
R3-E2,17,7.91000000000349,4,4
R3-E2,18,8.39100000000006,1,1
R3-E2,19,8.87200000000005,2,2
R3-E2,20,9.3530000000035,3,3
R3-E2,21,9.83400000000348,4,4
R3-E2,22,10.3150000000001,1,1
R3-E2,23,10.796,2,2
R3-E2,24,11.2770000000035,3,3
R3-E2,25,11.7580000000001,4,4
R3-E2,26,12.239,1,1
R3-E2,27,12.7200000000035,2,2
R3-E2,28,13.2010000000001,3,3
R3-E2,29,13.6820000000001,4,4
R3-E2,30,14.1630000000035,1,1
R3-E2,31,14.6440000000035,2,2
R3-E2,32,15.1250000000001,3,3
R3-E2,33,15.606,4,4
R3-E2,34,16.0870000000035,1,1
R3-E2,35,16.5680000000001,2,2
R3-E2,36,17.049,3,3
R3-E2,37,17.5300000000035,4,4
R3-E2,38,18.0110000000035,1,1
R3-E2,39,18.4920000000001,2,2
R3-E2,40,18.9730000000035,3,3
R3-E2,41,19.4540000000035,4,4
R3-E2,42,19.9350000000001,1,1
R3-E2,43,20.416,2,2
R3-E2,44,20.8970000000035,3,3
R3-E2,45,21.3780000000001,4,4
R3-E2,46,21.859,1,1
R3-E2,47,22.3400000000035,2,2
R3-E2,48,22.8210000000035,3,3
R3-E2,49,23.3020000000001,4,4
R3-E2,50,23.783,1,1
R3-E2,51,24.2640000000035,2,2
R3-E2,52,24.7450000000001,3,3
R3-E2,53,25.226,4,4
R3-E2,54,25.7070000000035,1,1
R3-E2,55,26.1880000000001,2,2
R3-E2,56,26.6690000000001,3,3
R3-E2,57,27.1500000000035,4,4
R3-E2,58,27.6310000000035,1,1
R3-E2,59,28.1120000000001,2,2
R3-E2,60,28.593,3,3
R3-E2,61,29.0740000000035,4,4
R3-E2,62,29.5550000000001,1,1
R3-E2,63,30.036,2,2
R3-E2,64,30.5170000000035,3,3
R3-E2,65,30.9980000000035,4,4
R3-E2,66,31.4790000000001,1,1
R3-E2,67,31.96,2,2
R3-E2,68,32.4410000000035,3,3
R3-E2,69,32.9220000000001,4,4
R3-E2,70,33.403,1,1
R3-E2,71,33.8840000000035,2,2
R3-E2,72,34.3650000000001,3,3
R3-E2,73,34.8460000000001,4,4
R3-E2,74,35.3270000000035,1,1
R3-E2,75,35.8080000000035,2,2
R3-E2,76,36.2890000000001,3,3
R3-E2,77,36.77,4,4
R3-E2,78,37.2510000000035,1,1
R3-E2,79,37.7320000000001,2,2
R3-E2,80,38.2130000000001,3,3
R3-E2,81,38.694000000007,4,4
R3-E2,82,39.175000000007,1,1
R3-E2,83,39.6560000000069,2,2
R3-E2,84,40.1370000000001,3,3
R3-E2,85,40.6180000000001,4,4
R3-E2,86,41.099000000007,1,1
R3-E2,87,41.580000000007,2,2
R3-E2,88,42.061000000007,3,3
R3-E2,89,42.542000000007,4,4
R3-E2,90,43.0230000000069,1,1
R3-E2,91,43.5040000000001,2,2
R3-E2,92,43.9850000000001,3,3
R3-E2,93,44.466000000007,4,4
