time_after_eval_start_us,phase
67.4940000000001,2
67.9760000000001,3
68.4580000000001,4
68.972,1
69.5320000000001,2
70.0140000000001,3
70.4960000000001,4
70.9780000000001,1
71.532000000007,2
72.014000000007,3
72.496000000007,4
72.978000000007,1
73.4920000000001,2
74.012000000007,3
74.494000000007,4
74.976000000007,1
75.5320000000069,2
76.0140000000069,3
76.4960000000069,4
76.9780000000069,1
77.4920000000001,2
78.012000000007,3
78.494000000007,4
78.976000000007,1
79.492000000007,2
80.0120000000001,3
80.4940000000001,4
80.9760000000001,1
81.532,2
82.014,3
82.4960000000001,4
83.012000000007,1
83.494000000007,2
84.052,3
84.534,4
85.016,1
85.498,2
86.0520000000001,3
86.5340000000001,4
87.0520000000069,1
87.5340000000069,2
88.0160000000069,3
88.5320000000069,4
89.052,1
89.534,2
90.016,3
90.572000000007,4
91.054000000007,1
91.536000000007,2
92.018000000007,3
92.5320000000001,4
93.052,1
93.534,2
94.0520000000001,3
94.572000000007,4
95.054000000007,1
95.536000000007,2
96.0180000000069,3
96.5720000000001,4
97.0540000000001,1
97.5720000000001,2
98.0540000000001,3
98.5720000000069,4
99.0540000000069,1
99.5360000000069,2
100.092,3
100.574,4
101.056,1
101.572,2
102.092000000007,3
102.574000000007,4
103.056000000007,1
103.572000000007,2
104.092,3
104.574,4
105.092,1
105.574,2
106.092000000007,3
106.612,4
107.094,1
107.576,2
108.132000000007,3
108.614000000007,4
109.096000000007,1
109.578000000007,2
110.092000000007,3
110.574000000007,4
111.132000000007,1
111.614000000007,2
112.096000000007,3
112.578000000007,4
113.060000000007,1
113.572,2
114.132,3
114.614,4
115.096,1
115.578,2
116.132000000007,3
116.614000000007,4
117.096000000007,1
117.578000000007,2
118.092,3
118.652000000007,4
119.134000000007,1
119.616000000007,2
120.098000000007,3
120.580000000007,4
121.062000000007,1
121.572000000007,2
122.132,3
122.614,4
123.096,1
123.612,2
124.132000000007,3
124.614000000007,4
125.096000000007,1
125.612,2
126.132,3
126.614,4
127.132,1
127.614,2
128.172,3
128.654,4
129.136,1
129.618,2
130.172000000007,3
130.654000000007,4
131.136000000007,1
131.618000000007,2
132.132,3
132.692000000007,4
133.174000000007,1
133.656000000007,2
134.138000000007,3
134.620000000007,4
135.102000000007,1
135.612000000007,2
136.172,3
136.654,4
137.136,1
137.652000000007,2
138.134000000007,3
138.692,4
139.174,1
139.656,2
140.138,3
140.692,4
141.174,1
141.656,2
142.172,3
142.692000000007,4
143.174000000007,1
143.656000000007,2
144.172000000007,3
144.692,4
145.174,1
145.692000000007,2
146.174000000007,3
146.692000000007,4
147.174000000007,1
147.656000000007,2
148.138000000007,3
148.692,4
149.212000000007,1
149.694000000007,2
150.176000000007,3
150.658000000007,4
151.172,1
151.692000000007,2
152.174000000007,3
152.656000000007,4
153.172000000007,1
153.692,2
154.174,3
154.656,4
155.212,1
155.694,2
156.176,3
156.692,4
157.212000000007,1
157.694000000007,2
158.176000000007,3
158.692,4
159.252000000007,1
159.734000000007,2
160.216000000007,3
160.698000000007,4
161.180000000007,1
161.662000000007,2
162.144000000007,3
162.652000000007,4
163.252000000007,1
163.734000000007,2
164.216000000007,3
164.698000000007,4
165.180000000007,1
165.662000000007,2
166.144000000007,3
166.626000000007,4
167.172000000007,1
167.654000000007,2
168.172,3
168.692000000007,4
169.174000000007,1
169.656000000007,2
