event_index,event_time,phase_idx,A_before_tr,Lambda_i,A_minus_Lambda,h_mean_since_last_event,period
94.0,4.9284e-05,3.0,3.95480464860166e-10,3e-10,9.548046486016602e-11,0.0011946965843433787,4.819999999999998e-07
95.0,4.9766e-05,0.0,3.79702547055781e-10,3e-10,7.970254705578102e-11,0.0011534928884090884,4.819999999999998e-07
96.0,5.028e-05,1.0,3.2884835615153e-10,3e-10,2.8848356151529992e-11,0.0009607210934546023,5.140000000000022e-07
97.0,5.08e-05,2.0,3.0522243293637e-10,3e-10,5.222432936370021e-12,0.0009278602342937554,5.200000000000018e-07
98.0,5.12820000000004e-05,3.0,3.58693865085861e-10,3e-10,5.869386508586102e-11,0.0010923777671334573,4.820000000003996e-07
99.0,5.17640000000004e-05,0.0,3.42962203186548e-10,3e-10,4.296220318654798e-11,0.0010754665197854605,4.819999999999998e-07
100.0,5.228e-05,1.0,3.01952584813908e-10,3e-10,1.9525848139080045e-12,0.0009259977493147633,5.159999999996e-07
101.0,5.284e-05,2.0,3.47978874480944e-10,3e-10,4.7978874480943987e-11,0.000887549231883284,5.600000000000014e-07
102.0,5.3322e-05,3.0,4.18135267840286e-10,3e-10,1.18135267840286e-10,0.0012437838811186603,4.819999999999998e-07
103.0,5.38040000000004e-05,0.0,4.53593128303424e-10,3e-10,1.53593128303424e-10,0.001321545456499508,4.820000000003996e-07
104.0,5.42860000000004e-05,1.0,4.06380243742961e-10,3e-10,1.0638024374296098e-10,0.0012562361967477457,4.819999999999998e-07
105.0,5.52500000000004e-05,3.0,3.25473930859056e-10,3e-10,2.5473930859056015e-11,0.0010773124011946218,9.639999999999996e-07
106.0,5.57320000000004e-05,0.0,3.18911677732232e-10,3e-10,1.891167773223201e-11,0.0010660468513910002,4.819999999999998e-07
107.0,5.628e-05,1.0,3.09925719023573e-10,3e-10,9.925719023572995e-12,0.0008257557893057238,5.479999999996024e-07
108.0,5.684e-05,2.0,3.23701004237928e-10,3e-10,2.3701004237928025e-11,0.0008566039581895752,5.599999999999946e-07
109.0,5.7322e-05,3.0,3.89999361555559e-10,3e-10,8.999936155555899e-11,0.0011897806688837428,4.819999999999998e-07
110.0,5.7804e-05,0.0,4.14399898693882e-10,3e-10,1.1439989869388203e-10,0.0012580885260878398,4.819999999999998e-07
111.0,5.8286e-05,1.0,3.68754802377406e-10,3e-10,6.875480237740598e-11,0.0011247245871824011,4.819999999999998e-07
112.0,5.88e-05,2.0,3.20062225584903e-10,3e-10,2.0062225584902996e-11,0.0009401403689540845,5.140000000000022e-07
113.0,5.932e-05,3.0,3.16210130012769e-10,3e-10,1.621013001276898e-11,0.0009538101911154221,5.200000000000018e-07
114.0,5.98020000000004e-05,0.0,3.86944904170569e-10,3e-10,8.694490417056898e-11,0.001156167022094897,4.820000000003996e-07
115.0,6.02840000000004e-05,1.0,3.10928839615645e-10,3e-10,1.0928839615644981e-11,0.0010099151221212121,4.819999999999998e-07
116.0,6.084e-05,2.0,3.00948154214237e-10,3e-10,9.48154214237027e-13,0.000835065423481018,5.559999999995996e-07
117.0,6.1322e-05,3.0,3.20797641182127e-10,3e-10,2.0797641182127022e-11,0.001063683580249445,4.81999999999993e-07
118.0,6.1804e-05,0.0,3.45659528212902e-10,3e-10,4.565952821290198e-11,0.001091342326484899,4.820000000000133e-07
119.0,6.232e-05,1.0,3.05274316962836e-10,3e-10,5.274316962836018e-12,0.000911053480456416,5.15999999999993e-07
