"variant","event_index","time_us","REQ_phase","REQ_accept_phase","phase_idx","REQ_reject_reason","model_phase_order_error_sample","active_HS_phase"
"A5-T2","31","19.8420000000001","1","1","0","0","0","0"
"A5-T2","32","20.3240000000001","2","2","1","0","0","0"
"A5-T2","33","20.96","3","3","2","0","1","0"
"A5-T2","34","21.64","4","4","3","0","0","0"
"A5-T2","35","22.24","1","1","0","0","0","0"
"A5-T2","36","22.7220000000035","2","2","1","0","0","0"
"A5-T2","37","23.3200000000001","3","3","2","0","1","0"
"A5-T2","38","24","4","4","3","0","0","0"
"A5-T2","39","24.6000000000001","1","1","0","0","0","0"
"A5-T2","40","25.0820000000001","2","2","1","0","0","0"
"A5-T2","41","25.68","3","3","2","0","1","0"
"A5-T2","42","26.3600000000001","4","4","3","0","0","0"
"A5-T2","43","26.96","1","1","0","0","0","0"
"A5-T2","44","27.4420000000035","2","2","1","0","0","0"
"A5-T2","45","28.0400000000001","3","3","2","0","1","0"
"A5-T2","46","28.72","4","4","3","0","0","0"
"A5-T2","47","29.3200000000001","1","1","0","0","0","0"
"A5-T2","48","29.802","2","2","1","0","0","0"
"A5-T2","49","30.4400000000001","3","3","2","0","1","0"
"A5-T2","50","31.04","4","4","3","0","0","0"
"A5-T2","51","31.7200000000001","1","1","0","0","0","0"
"A5-T2","52","32.2020000000001","2","2","1","0","0","0"
"A5-T2","53","32.6840000000001","3","3","2","0","0","0"
"A5-T2","54","33.52","4","4","3","0","1","0"
"A5-T2","55","34.002","1","1","0","0","0","0"
"A5-T2","56","34.5600000000001","2","2","1","0","1","0"
"A5-T2","57","35.08","3","3","2","0","0","0"
"A5-T2","58","35.84","4","4","3","0","0","0"
"A5-T2","59","36.36","1","1","0","0","0","0"
"A5-T2","60","36.9600000000001","2","2","1","0","0","0"
"A5-T2","61","37.442","3","3","2","0","0","0"
"A5-T2","62","38.2000000000001","4","4","3","0","1","0"
"A5-T2","63","38.72","1","1","0","0","0","0"
"A5-T2","64","39.32","2","2","1","0","0","0"
"A5-T2","65","39.802000000007","3","3","2","0","0","0"
"A5-T2","66","40.5200000000001","4","4","3","0","1","0"
"A5-T2","67","41.1200000000001","1","1","0","0","0","0"
"A5-T2","68","41.64","2","2","1","0","0","0"
"A5-T2","69","42.24","3","3","2","0","0","0"
"A5-T2","70","42.8000000000001","4","4","3","0","0","0"
"A5-T2","71","43.6000000000001","1","1","0","0","0","0"
"A5-T2","72","44.0820000000001","2","2","1","0","0","0"
"A5-T2","73","44.5640000000001","3","3","2","0","0","0"
"A5-T2","74","45.1200000000001","4","4","3","0","1","0"
"A5-T2","75","45.9200000000001","1","1","0","0","0","0"
"A5-T2","76","46.4020000000001","2","2","1","0","0","0"
"A5-T2","77","46.8840000000001","3","3","2","0","0","0"
"A5-T2","78","47.5600000000001","4","4","3","0","1","0"
"A5-T2","79","48.2000000000001","1","1","0","0","0","0"
"A5-T2","80","48.72","2","2","1","0","0","0"
"A5-T2","81","49.3200000000001","3","3","2","0","0","0"
"A5-T2","82","49.8800000000001","4","4","3","0","0","0"
"A5-T2","83","50.6","1","1","0","0","0","0"
"A5-T2","84","51.082000000007","2","2","1","0","0","0"
"A5-T2","85","51.68","3","3","2","0","1","0"
"A5-T2","86","52.2400000000001","4","4","3","0","0","0"
"A5-T2","87","53.0000000000001","1","1","0","0","0","0"
"A5-T2","88","53.4820000000001","2","2","1","0","0","0"
"A5-T2","89","53.9640000000001","3","3","2","0","0","0"
"A5-T2","90","54.6800000000001","4","4","3","0","1","0"
"A5-T2","91","55.24","1","1","0","0","0","0"
"A5-T2","92","55.92","2","2","1","0","0","0"
"A5-T2","93","56.4020000000069","3","3","2","0","0","0"
"A5-T2","94","56.92","4","4","3","0","1","0"
"A5-T2","95","57.72","1","1","0","0","0","0"
"A5-T2","96","58.202000000007","2","2","1","0","0","0"
"A5-T2","97","58.7200000000001","3","3","2","0","1","0"
"A5-T2","98","59.3600000000001","4","4","3","0","0","0"
"A5-T2","99","60","1","1","0","0","0","0"
"A5-T2","100","60.6000000000001","2","2","1","0","0","0"
"A5-T2","101","61.082000000007","3","3","2","0","0","0"
"A5-T2","102","61.72","4","4","3","0","1","0"
"A5-T2","103","62.36","1","1","0","0","0","0"
"A5-T2","104","62.96","2","2","1","0","0","0"
"A5-T2","105","63.442000000007","3","3","2","0","0","0"
"A5-T2","106","64.1200000000001","4","4","3","0","1","0"
"A5-T2","107","64.68","1","1","0","0","0","0"
"A5-T2","108","65.3600000000001","2","2","1","0","0","0"
"A5-T2","109","65.8420000000001","3","3","2","0","0","0"
"A5-T2","110","66.4000000000001","4","4","3","0","1","0"
"A5-T2","111","67.12","1","1","0","0","0","0"
"A5-T2","112","67.602000000007","2","2","1","0","0","0"
"A5-T2","113","68.2800000000001","3","3","2","0","1","0"
"A5-T2","114","68.7620000000001","4","4","3","0","0","0"
"A5-T2","115","69.44","1","1","0","0","1","0"
"A5-T2","116","70.04","2","2","1","0","0","0"
"A5-T2","117","70.522000000007","3","3","2","0","0","0"
"A5-T2","118","71.2","4","4","3","0","1","0"
"A5-T2","119","71.76","1","1","0","0","0","0"
"A5-T2","120","72.44","2","2","1","0","0","0"
"A5-T2","121","72.9220000000069","3","3","2","0","0","0"
"A5-T2","122","73.5200000000001","4","4","3","0","1","0"
"A5-T2","123","74.1600000000001","1","1","0","0","0","0"
"A5-T2","124","74.76","2","2","1","0","0","0"
"A5-T2","125","75.2800000000001","3","3","2","0","0","0"
"A5-T2","126","75.8800000000001","4","4","3","0","0","0"
"A5-T2","127","76.5200000000001","1","1","0","0","0","0"
"A5-T2","128","77.1200000000001","2","2","1","0","0","0"
"A5-T2","129","77.64","3","3","2","0","0","0"
"A5-T2","130","78.28","4","4","3","0","0","0"
"A5-T2","131","78.84","1","1","0","0","0","0"
"A5-T2","132","79.52","2","2","1","0","0","0"
"A5-T2","133","80.002000000007","3","3","2","0","0","0"
"A5-T2","134","80.6","4","4","3","0","1","0"
"A5-T2","135","81.24","1","1","0","0","0","0"
"A5-T2","136","81.84","2","2","1","0","0","0"
"A5-T2","137","82.4","3","3","2","0","0","0"
"A5-T2","138","82.92","4","4","3","0","0","0"
"A5-T2","139","83.6400000000001","1","1","0","0","0","0"
"A5-T2","140","84.16","2","2","1","0","0","0"
"A5-T2","141","84.8","3","3","2","0","0","0"
"A5-T2","142","85.2820000000069","4","4","3","0","0","0"
"A5-T2","143","86","1","1","0","0","1","0"
"A5-T2","144","86.5200000000001","2","2","1","0","0","0"
"A5-T2","145","87.1600000000001","3","3","2","0","0","0"
"A5-T2","146","87.6420000000001","4","4","3","0","0","0"
"A5-T2","147","88.36","1","1","0","0","1","0"
"A5-T2","148","88.8800000000001","2","2","1","0","0","0"
"A5-T2","149","89.5200000000001","3","3","2","0","0","0"
"A5-T3","1","2.80000000000001","3","3","2","0","0","0"
"A5-T3","2","3.28200000000348","4","4","3","0","0","0"
"A5-T3","3","3.76400000000007","1","1","0","0","0","0"
"A5-T3","4","4.24600000000007","2","2","1","0","0","0"
"A5-T3","5","4.72800000000007","3","3","2","0","0","0"
"A5-T3","6","5.21000000000007","4","4","3","0","0","0"
"A5-T3","7","5.69200000000007","1","1","0","0","0","0"
"A5-T3","8","6.17400000000007","2","2","1","0","0","0"
"A5-T3","9","6.65600000000007","3","3","2","0","0","0"
"A5-T3","10","7.13800000000007","4","4","3","0","0","0"
"A5-T3","11","7.62000000000007","1","1","0","0","0","0"
"A5-T3","12","8.24000000000002","2","2","1","0","1","0"
"A5-T3","13","9.16000000000003","3","3","2","0","0","0"
"A5-T3","14","9.80000000000002","4","4","3","0","0","0"
"A5-T3","15","10.2820000000035","1","1","0","0","0","0"
"A5-T3","16","10.92","2","2","1","0","1","0"
"A5-T3","17","11.44","3","3","2","0","0","0"
"A5-T3","18","12.3600000000001","4","4","3","0","0","0"
"A5-T3","19","12.8420000000001","1","1","0","0","0","0"
"A5-T3","20","13.3240000000001","2","2","1","0","0","0"
"A5-T3","21","13.8060000000001","3","3","2","0","0","0"
"A5-T3","22","14.68","4","4","3","0","1","0"
"A5-T3","23","15.162","1","1","0","0","0","0"
"A5-T3","24","15.644","2","2","1","0","0","0"
"A5-T3","25","16.126","3","3","2","0","0","0"
"A5-T3","26","17.0400000000001","4","4","3","0","1","0"
"A5-T3","27","17.5220000000001","1","1","0","0","0","0"
"A5-T3","28","18.0040000000001","2","2","1","0","0","0"
"A5-T3","29","18.5200000000001","3","3","2","0","1","0"
"A5-T3","30","19.4","4","4","3","0","0","0"
"A5-T3","31","19.882","1","1","0","0","0","0"
"A5-T3","32","20.364","2","2","1","0","0","0"
"A5-T3","33","20.9200000000001","3","3","2","0","1","0"
"A5-T3","34","21.72","4","4","3","0","0","0"
"A5-T3","35","22.2020000000035","1","1","0","0","0","0"
"A5-T3","36","22.7200000000001","2","2","1","0","1","0"
"A5-T3","37","23.36","3","3","2","0","0","0"
"A5-T3","38","24","4","4","3","0","0","0"
"A5-T3","39","24.64","1","1","0","0","0","0"
"A5-T3","40","25.1220000000035","2","2","1","0","0","0"
"A5-T3","41","25.6400000000001","3","3","2","0","1","0"
"A5-T3","42","26.44","4","4","3","0","0","0"
"A5-T3","43","26.9220000000035","1","1","0","0","0","0"
"A5-T3","44","27.48","2","2","1","0","1","0"
"A5-T3","45","28.0400000000001","3","3","2","0","0","0"
"A5-T3","46","28.76","4","4","3","0","0","0"
"A5-T3","47","29.3200000000001","1","1","0","0","0","0"
"A5-T3","48","29.8400000000001","2","2","1","0","0","0"
"A5-T3","49","30.4","3","3","2","0","0","0"
"A5-T3","50","31.12","4","4","3","0","0","0"
"A5-T3","51","31.68","1","1","0","0","0","0"
"A5-T3","52","32.2","2","2","1","0","0","0"
"A5-T3","53","32.8","3","3","2","0","0","0"
"A5-T3","54","33.44","4","4","3","0","0","0"
"A5-T3","55","34.08","1","1","0","0","0","0"
"A5-T3","56","34.5620000000035","2","2","1","0","0","0"
"A5-T3","57","35.12","3","3","2","0","1","0"
"A5-T3","58","35.84","4","4","3","0","0","0"
"A5-T3","59","36.4","1","1","0","0","0","0"
"A5-T3","60","36.92","2","2","1","0","0","0"
"A5-T3","61","37.52","3","3","2","0","0","0"
"A5-T3","62","38.16","4","4","3","0","0","0"
"A5-T3","63","38.8000000000001","1","1","0","0","0","0"
"A5-T3","64","39.2820000000001","2","2","1","0","0","0"
"A5-T3","65","39.8800000000001","3","3","2","0","1","0"
"A5-T3","66","40.5200000000001","4","4","3","0","0","0"
"A5-T3","67","41.16","1","1","0","0","0","0"
"A5-T3","68","41.642000000007","2","2","1","0","0","0"
"A5-T3","69","42.2000000000001","3","3","2","0","1","0"
"A5-T3","70","42.92","4","4","3","0","0","0"
