variant,event_index,time_us,REQ_phase,REQ_accept_phase,phase_idx,REQ_reject_reason,phase_order_error,active_HS_phase
A5-C4,65,39.802000000007,3,3,2,0,0,0
A5-C4,66,40.5200000000001,4,4,3,0,1,0
A5-C4,67,41.1200000000001,1,1,0,0,0,0
A5-C4,68,41.64,2,2,1,0,0,0
A5-C4,69,42.24,3,3,2,0,0,0
A5-C4,70,42.8000000000001,4,4,3,0,0,0
A5-C4,71,43.6000000000001,1,1,0,0,0,0
A5-C4,72,44.0820000000001,2,2,1,0,0,0
A5-C4,73,44.5640000000001,3,3,2,0,0,0
A5-C4,74,45.1200000000001,4,4,3,0,1,0
A5-C4,75,45.9200000000001,1,1,0,0,0,0
A5-C4,76,46.4020000000001,2,2,1,0,0,0
A5-C4,77,46.8840000000001,3,3,2,0,0,0
A5-C4,78,47.5600000000001,4,4,3,0,1,0
A5-C4,79,48.2000000000001,1,1,0,0,0,0
A5-C4,80,48.72,2,2,1,0,0,0
A5-C4,81,49.3200000000001,3,3,2,0,0,0
A5-C4,82,49.8800000000001,4,4,3,0,0,0
A5-C4,83,50.6,1,1,0,0,0,0
A5-C4,84,51.082000000007,2,2,1,0,0,0
A5-C4,85,51.68,3,3,2,0,1,0
A5-C4,86,52.2400000000001,4,4,3,0,0,0
A5-C4,87,53.0000000000001,1,1,0,0,0,0
A5-C4,88,53.4820000000001,2,2,1,0,0,0
A5-C4,89,53.9640000000001,3,3,2,0,0,0
A5-C4,90,54.6800000000001,4,4,3,0,1,0
A5-C4,91,55.24,1,1,0,0,0,0
A5-C4,92,55.92,2,2,1,0,0,0
A5-C4,93,56.4020000000069,3,3,2,0,0,0
A5-C4,94,56.92,4,4,3,0,1,0
A5-C4,95,57.72,1,1,0,0,0,0
A5-C4,96,58.202000000007,2,2,1,0,0,0
A5-C4,97,58.7200000000001,3,3,2,0,1,0
A5-C4,98,59.3600000000001,4,4,3,0,0,0
A5-C4,99,60,1,1,0,0,0,0
A5-C4,100,60.6000000000001,2,2,1,0,0,0
A5-C4,101,61.082000000007,3,3,2,0,0,0
A5-C4,102,61.72,4,4,3,0,1,0
A5-C4,103,62.36,1,1,0,0,0,0
A5-C4,104,62.96,2,2,1,0,0,0
A5-C4,105,63.442000000007,3,3,2,0,0,0
A5-C4,106,64.1200000000001,4,4,3,0,1,0
A5-C4,107,64.68,1,1,0,0,0,0
A5-C4,108,65.3600000000001,2,2,1,0,0,0
A5-C4,109,65.8420000000001,3,3,2,0,0,0
A5-C4,110,66.4000000000001,4,4,3,0,1,0
A5-C4,111,67.12,1,1,0,0,0,0
A5-C4,112,67.602000000007,2,2,1,0,0,0
A5-C4,113,68.2800000000001,3,3,2,0,1,0
A5-C4,114,68.7620000000001,4,4,3,0,0,0
A5-C4,115,69.44,1,1,0,0,1,0
A5-C4,116,70.04,2,2,1,0,0,0
A5-C4,117,70.522000000007,3,3,2,0,0,0
A5-C4,118,71.2,4,4,3,0,1,0
A5-C4,119,71.76,1,1,0,0,0,0
A5-C4,120,72.44,2,2,1,0,0,0
A5-C4,121,72.9220000000069,3,3,2,0,0,0
A5-C4,122,73.5200000000001,4,4,3,0,1,0
A5-C4,123,74.1600000000001,1,1,0,0,0,0
A5-C4,124,74.76,2,2,1,0,0,0
A5-C4,125,75.2800000000001,3,3,2,0,0,0
A5-C4,126,75.8800000000001,4,4,3,0,0,0
A5-C4,127,76.5200000000001,1,1,0,0,0,0
A5-C4,128,77.1200000000001,2,2,1,0,0,0
A5-C4,129,77.64,3,3,2,0,0,0
A5-C4,130,78.28,4,4,3,0,0,0
A5-C4,131,78.84,1,1,0,0,0,0
A5-C4,132,79.52,2,2,1,0,0,0
A5-C4,133,80.002000000007,3,3,2,0,0,0
A5-C4,134,80.6,4,4,3,0,1,0
A5-C4,135,81.24,1,1,0,0,0,0
A5-C4,136,81.84,2,2,1,0,0,0
A5-C4,137,82.4,3,3,2,0,0,0
A5-C4,138,82.92,4,4,3,0,0,0
A5-C4,139,83.6400000000001,1,1,0,0,0,0
A5-C4,140,84.16,2,2,1,0,0,0
A5-C4,141,84.8,3,3,2,0,0,0
A5-C4,142,85.2820000000069,4,4,3,0,0,0
A5-C4,143,86,1,1,0,0,1,0
A5-C4,144,86.5200000000001,2,2,1,0,0,0
A5-C4,145,87.1600000000001,3,3,2,0,0,0
A5-C4,146,87.6420000000001,4,4,3,0,0,0
A5-C4,147,88.36,1,1,0,0,1,0
A5-C4,148,88.8800000000001,2,2,1,0,0,0
A5-C4,149,89.5200000000001,3,3,2,0,0,0
