actuator,pattern,amplitude,amplitude_display,amplitude_unit,pattern_vector,avg_phase_current_A,phase_current_pkpk_mA,phase_current_rms_mA,mean_wait_phase_pkpk_ns,event_wait_pkpk_ns,event_wait_rms_ns,phase_period_pkpk_ns,avg_vout_event_V,vout_event_pkpk_mV,mean_wait_by_phase_ns,gain_current_pkpk_mA_per_norm_amp,gain_wait_phase_pkpk_ns_per_norm_amp,gain_event_wait_rms_ns_per_norm_amp
lambda_diff,one_phase,2e-13,2e-13,area,1 -0.3333333 -0.3333333 -0.3333333,9.999992 9.999994 10 10.00001,0.020198880047672674,0.007845151419035199,0.1775457297542637,0.18071388953773349,0.07649493467353123,0.18071388953773349,0.9999874332161358,0.00015886641679951907,0.1324623 -0.04508343 -0.04430923 -0.04310004,0.010099440023836337,0.08877286487713185,0.038247467336765616
lambda_diff,one_phase,4e-13,4e-13,area,1 -0.3333333 -0.3333333 -0.3333333,9.999984 9.999989 10 10.00002,0.04040581407771526,0.015693029703928038,0.355116315675896,0.3614563263466792,0.15300069353774806,0.3614563263466262,0.9999874374660173,0.00032885722389686123,0.2649492 -0.09016708 -0.08861875 -0.08620063,0.010101453519428816,0.088779078918974,0.038250173384437015
lambda_diff,one_phase,8e-13,8e-13,area,1 -0.3333333 -0.3333333 -0.3333333,9.999967 9.999977 10 10.00005,0.0808438323343097,0.0313969611611868,0.7103320872567148,0.7230269071818562,0.3060446984828721,0.7230269071818562,0.9999874100917643,0.0007022357846331317,0.529997 -0.1803351 -0.1772387 -0.1724034,0.010105479041788712,0.08879151090708935,0.03825558731035901
lambda_diff,one_phase,1.6e-12,1.6e-12,area,1 -0.3333333 -0.3333333 -0.3333333,9.999935 9.999954 10.00001 10.0001,0.16181655791491778,0.0628375578254285,1.421062245155998,1.4465113705873958,0.6122627519609231,1.4465113705873427,0.9999872117215745,0.0015827468072826534,1.060389 -0.3606737 -0.3544819 -0.3448156,0.010113534869682361,0.08881639032224987,0.03826642199755769
ton_diff,m1_cos,5e-12,0.005,ns,1 9.184851e-17 -1 -1.530808e-16,10.01927 9.999575 9.98069 10.00039,38.57815565436695,13.642469245768849,4.232810165361507,4.389388163422095,1.4997142019807372,4.389388163422148,0.99997711079232,0.013388808061676194,2.130299 -0.04861981 -2.102512 0.0415189,771.5631130873392,84.65620330723016,29.994284039614747
ton_diff,m1_cos,1e-11,0.01,ns,1 9.184851e-17 -1 -1.530808e-16,10.03849 9.999115 9.961337 10.00074,77.15401903816321,27.28413098731149,8.466664932425443,8.78016066175979,2.9999559201672743,8.78016066175979,0.9999461796560887,0.049983705090128616,4.288184 -0.1039466 -4.178481 0.07634195,771.5401903816322,84.66664932425444,29.999559201672746
ton_diff,m1_cos,2e-11,0.02,ns,1 9.184851e-17 -1 -1.530808e-16,10.07679 9.998087 9.922505 10.00134,154.28977147165313,54.561827616931325,16.941579389619733,17.572148616389875,6.004087812120752,17.57214861638982,0.9998223866695788,0.1928866357574499,8.688836 -0.2347537 -8.252743 0.1259102,771.4488573582657,84.70789694809866,30.020439060603763
ton_diff,m1_cos,5e-11,0.05,ns,1 9.184851e-17 -1 -1.530808e-16,10.19049 9.994131 9.805083 10.0023,385.4045643145216,136.29190382920322,42.49766490784067,44.14508369133129,15.08306529307083,44.14508369133134,0.9989531286901345,1.183463127804929,22.61049 -0.7892911 -19.88718 0.1138696,770.8091286290432,84.99532981568134,30.16613058614166
ton_diff,m1_cos,1e-10,0.1,ns,1 9.184851e-17 -1 -1.530808e-16,10.37527 9.984498 9.606768 10.00109,768.4979626540578,271.7698061855179,86.03200767865782,89.847855440097,30.691710717557232,89.847855440097,0.9958102714316612,4.766953977228483,48.51758 -2.263611 -37.51443 -0.4466036,768.4979626540578,86.03200767865782,30.691710717557232
ton_diff,m1_cos,2e-10,0.2,ns,1 9.184851e-17 -1 -1.530808e-16,10.72113 9.952229 9.203539 9.987404,1517.5955726984166,536.7081966000362,180.7744746914547,192.8529227457907,65.79707952042456,192.8529227457907,0.9826263365925453,20.159507263373342,113.4158 -7.403775 -67.35863 -3.684139,758.7977863492083,90.38723734572736,32.89853976021228
ton_diff,m2_alt,5e-12,0.005,ns,1 -1 1 -1,10.01921 9.980706 10.01921 9.980712,38.50879416282105,19.25156348539252,4.2248001396911095,4.387005083827982,2.1154432384241875,4.3770050838279175,0.9999669013356728,0.023574945823057192,2.122899 -2.101761 2.121748 -2.101901,770.175883256421,84.4960027938222,42.30886476848375
ton_diff,m2_alt,1e-11,0.01,ns,1 -1 1 -1,10.03835 9.961335 10.03834 9.961346,77.01364975058489,38.50119519235572,8.449732876996615,8.774437900457162,4.230964791946541,8.75443790045714,0.9999053533016697,0.09334955511697274,4.266132 -4.183328 4.263789 -4.183601,770.136497505849,84.49732876996616,42.30964791946542
ton_diff,m2_alt,2e-11,0.02,ns,1 -1 1 -1,10.07636 9.922368 10.07634 9.92239,153.9961108101284,76.98694537541303,16.900414979887106,17.5527333329901,8.462537795617372,17.51273333299011,0.9996592622212012,0.37135193504000963,8.613799 -8.286097 8.608939 -8.286616,769.9805540506421,84.50207489943554,42.31268897808686
ton_diff,m2_alt,5e-11,0.05,ns,1 -1 1 -1,10.18828 9.803831 10.18823 9.803884,384.44873345289744,192.19769584243633,42.26661647293804,43.98984139964382,21.16684766146276,43.88984139964371,0.997941464395117,2.3066575488476238,22.14971 -20.11582 22.13618 -20.1169,768.8974669057949,84.53323294587608,42.33369532292552
ton_diff,m2_alt,1e-10,0.1,ns,1 -1 1 -1,10.36702 9.601951 10.36693 9.602054,765.070769974816,382.48559870363385,84.64383013143681,88.77053561489807,42.40949166897989,88.5705356148981,0.9918747662957674,9.115773932441229,46.372 -38.27039 46.33981 -38.27183,765.070769974816,84.64383013143681,42.40949166897989
ton_diff,m2_alt,2e-10,0.2,ns,1 -1 1 -1,10.69221 9.191694 10.69206 9.19189,1500.5109152998025,750.1689763464248,170.23214652974713,182.78142697622923,85.46001936343043,182.3814269762293,0.9686036034246425,34.91713440633426,101.1826 -69.04947 101.0929 -69.04953,750.2554576499012,85.11607326487356,42.73000968171522
ton_diff,one_phase,5e-12,0.005,ns,1 -0.3333333 -0.3333333 -0.3333333,10.01926 9.993296 9.993545 9.993844,25.96591038833651,11.13022100587408,2.864675117018084,2.9571850574935,1.2301857535521945,2.9505183908268084,0.9999805144951357,0.008953952103540885,2.130107 -0.7345686 -0.7071223 -0.6743987,519.3182077667302,57.29350234036169,24.603715071043894
ton_diff,one_phase,1e-11,0.01,ns,1 -0.3333333 -0.3333333 -0.3333333,10.03849 9.986564 9.987066 9.987668,51.92690588598303,22.256641581395247,5.760093278343378,5.951341385871488,2.4737109300064817,5.9380080525381045,0.9999596301635755,0.03369553448318019,4.290075 -1.470018 -1.414988 -1.349421,519.2690588598304,57.600932783433784,24.73710930006482
ton_diff,one_phase,2e-11,0.02,ns,1 -0.3333333 -0.3333333 -0.3333333,10.07684 9.97301 9.97403 9.975251,103.8300757421311,44.496184670691214,11.645648316259686,12.054184484463924,5.001885894884172,12.027517817797209,0.9998748841158425,0.1319864028771489,8.701975 -2.943673 -2.833053 -2.701435,519.1503787106556,58.228241581298434,25.009429474420863
ton_diff,one_phase,5e-11,0.05,ns,1 -0.3333333 -0.3333333 -0.3333333,10.19092 9.93161 9.934287 9.937469,259.31110918991783,111.07219335801601,30.107655433203387,31.347827213923654,12.936603724701378,31.28116054725695,0.9992572404278326,0.8450747089712163,22.71883 -7.388826 -7.107872 -6.774999,518.6222183798357,60.215310866406774,25.873207449402756
ton_diff,one_phase,1e-10,0.1,ns,1 -0.3333333 -0.3333333 -0.3333333,10.37701 9.859913 9.865743 9.872588,517.1012168022138,221.2857327280903,63.91866383169825,67.3071350305814,27.48800152160606,67.1738016972481,0.9968719915406817,3.6375487693764974,49.02566 -14.893 -14.315 -13.63519,517.1012168022138,63.91866383169825,27.48800152160606
ton_diff,one_phase,2e-10,0.2,ns,1 -0.3333333 -0.3333333 -0.3333333,10.72635 9.704276 9.718301 9.734344,1022.0776032641368,436.33800444854955,146.3452848100445,158.69882466430093,63.108900190438874,158.43215799763425,0.9856925978773907,17.280761129547795,115.965 -30.38028 -29.1489 -27.72313,511.0388016320684,73.17264240502224,31.554450095219437
delay_diff,m1_cos,5e-12,0.005,ns,1 9.184851e-17 -1 -1.530808e-16,10 9.999999 10 10,0.0015567186739673389,0.0006208103497381672,0.015475813076096885,0.015569104433699563,0.005472761538170949,0.015569104433699563,0.9999874182865219,1.1335474781049015e-05,0.007737384 -8.749271e-05 -0.007738429 8.597121e-05,0.03113437347934678,0.30951626152193773,0.109455230763419
delay_diff,m1_cos,1e-11,0.01,ns,1 9.184851e-17 -1 -1.530808e-16,9.999999 9.999998 10 10,0.003113440001811796,0.001241621232451337,0.03095162634792574,0.03113820990813792,0.010945523151850916,0.03113820990819086,0.9999874195139306,2.270906251933269e-05,0.01547483 -0.0001749979 -0.0154768 0.0001719303,0.03113440001811796,0.3095162634792574,0.10945523151850917
delay_diff,m1_cos,2e-11,0.02,ns,1 9.184851e-17 -1 -1.530808e-16,9.999998 9.999997 10 10,0.0062268826592770665,0.0024832447640283028,0.06190325169178982,0.06227641900984753,0.021891045952665326,0.062276419009794595,0.9999874218929565,4.550069299114057e-05,0.0309498 -0.0003500252 -0.03095345 0.0003438313,0.031134413296385336,0.30951625845894915,0.10945522976332664
delay_diff,m1_cos,5e-11,0.05,ns,1 9.184851e-17 -1 -1.530808e-16,9.999996 9.999992 10 10.00001,0.015567204783906163,0.0062081115381891335,0.15475812931186095,0.1556910521425101,0.054727614961567896,0.15569105214240422,0.999987428111018,0.00011471956906650149,0.07737589 -0.0008753696 -0.07738224 0.0008592719,0.031134409567812327,0.3095162586237219,0.10945522992313579
delay_diff,m1_cos,1e-10,0.1,ns,1 9.184851e-17 -1 -1.530808e-16,9.999992 9.999984 10.00001 10.00002,0.031134408624566845,0.012416224987217844,0.3095162589271857,0.31138212138788596,0.10945523024844817,0.31138212138788596,0.9999874355189007,0.00023259236714423537,0.1547564 -0.001751754 -0.1547598 0.001717529,0.031134408624566845,0.3095162589271857,0.10945523024844817
delay_diff,m1_cos,2e-10,0.2,ns,1 9.184851e-17 -1 -1.530808e-16,9.999983 9.999969 10.00002 10.00003,0.06226881894555447,0.024832457846746724,0.6190325292314677,0.6227643255213617,0.21891046581358276,0.6227643255213617,0.9999874392571839,0.0004777100527375566,0.3095314 -0.003507572 -0.3095011 0.003430998,0.031134409472777236,0.30951626461573384,0.10945523290679138
delay_diff,m2_alt,5e-12,0.005,ns,1 -1 1 -1,9.999999 10 9.999999 10,0.001162486162442633,0.0005788588356358882,0.015437958929104335,0.01556349376183703,0.007719317774001168,0.015563493761889969,0.999987418264391,6.117109596637249e-06,0.007718468 -0.00771949 0.007718025 -0.007719083,0.023249723248852664,0.30875917858208674,0.15438635548002336
delay_diff,m2_alt,1e-11,0.01,ns,1 -1 1 -1,9.999999 10 9.999999 10,0.002324981284829164,0.0011577201404652366,0.030875917759115298,0.031126987857987377,0.015438635259009813,0.031126987858040318,0.9999874194274903,1.2313230324245694e-05,0.01543698 -0.01543894 0.01543609 -0.01543812,0.023249812848291643,0.308759177591153,0.15438635259009814
delay_diff,m2_alt,2e-11,0.02,ns,1 -1 1 -1,9.999998 10 9.999998 10,0.004649960342106851,0.002315437612376271,0.06175183643183771,0.06225397563947709,0.030877270779353646,0.06225397563953003,0.9999874216084795,2.4803664011585624e-05,0.03087407 -0.03087776 0.0308723 -0.03087613,0.02324980171053426,0.30875918215918857,0.15438635389676825
delay_diff,m2_alt,5e-11,0.05,ns,1 -1 1 -1,9.999994 10.00001 9.999994 10.00001,0.011624895545736535,0.005788593934018003,0.15437959065644213,0.15563493968073672,0.07719317664713826,0.15563493968078965,0.9999874263719291,6.40230012338705e-05,0.07718624 -0.07719336 0.07718179 -0.07718927,0.02324979109147307,0.30875918131288427,0.15438635329427652
delay_diff,m2_alt,1e-10,0.1,ns,1 -1 1 -1,9.999988 10.00001 9.999988 10.00001,0.023249775205513856,0.01157718644202053,0.30875918044430617,0.3112698808446281,0.15438635240965087,0.3112698808446281,0.9999874285704045,0.00013454016012381942,0.154376 -0.1543832 0.1543671 -0.154375,0.023249775205513856,0.30875918044430617,0.15438635240965087
delay_diff,m2_alt,2e-10,0.2,ns,1 -1 1 -1,9.999976 10.00002 9.999976 10.00002,0.04649946631118951,0.023154359723695957,0.6175183589491897,0.6225397699763618,0.3087727024296421,0.6225397699763089,0.9999874114896413,0.00029505662801909693,0.3087661 -0.3087522 0.3087483 -0.3087359,0.023249733155594754,0.30875917947459486,0.15438635121482105
delay_diff,one_phase,5e-12,0.005,ns,1 -0.3333333 -0.3333333 -0.3333333,10 10 10 10,0.0011787726723611058,0.0004578409719895306,0.010362578392575776,0.010547398621735666,0.004464676220794601,0.010547398621682726,0.9999874182938133,8.961262842888118e-06,0.007731083 -0.002631495 -0.002586304 -0.002515717,0.02357545344722212,0.20725156785151555,0.08929352441589203
delay_diff,one_phase,1e-11,0.01,ns,1 -0.3333333 -0.3333333 -0.3333333,9.999999 9.999999 10 10,0.0023575647336571137,0.0009156888104532081,0.02072521768455424,0.021094867358476425,0.008929378924091768,0.021094867358423485,0.999987419543786,1.794822113154737e-05,0.01546223 -0.005262991 -0.005172609 -0.005031435,0.02357564733657114,0.20725217684554242,0.08929378924091769
delay_diff,one_phase,2e-11,0.02,ns,1 -0.3333333 -0.3333333 -0.3333333,9.999998 9.999999 10 10,0.00471517248357145,0.00183139163901765,0.04145057895851901,0.04218989573669851,0.01785882107779014,0.04218989573675146,0.9999874219841038,3.596424680285537e-05,0.03092461 -0.01052597 -0.01034521 -0.01006287,0.023575862417857255,0.20725289479259507,0.0892941053889507
delay_diff,one_phase,5e-11,0.05,ns,1 -0.3333333 -0.3333333 -0.3333333,9.999995 9.999997 10 10.00001,0.011788438454729544,0.00457865557866035,0.10362797660262461,0.10547650419945168,0.0446477119770689,0.10547650419939875,0.9999874287266654,9.053366034628141e-05,0.07731301 -0.02631497 -0.02586305 -0.02515718,0.023576876909459088,0.20725595320524923,0.0892954239541378
delay_diff,one_phase,1e-10,0.1,ns,1 -0.3333333 -0.3333333 -0.3333333,9.999991 9.999993 10 10.00001,0.02357841755973311,0.009157833354911342,0.20726094470726109,0.2109586776080482,0.08929760656162598,0.21095867760810114,0.9999874380270313,0.00018318420924590129,0.154631 -0.05262996 -0.05172616 -0.0503145,0.02357841755973311,0.20726094470726109,0.08929760656162598
delay_diff,one_phase,2e-10,0.2,ns,1 -0.3333333 -0.3333333 -0.3333333,9.999981 9.999987 10 10.00003,0.04716302589180543,0.01831776968598169,0.4145418599158504,0.4219401321708055,0.17860391075344043,0.4219401321708055,0.9999874492918044,0.0003748249556290162,0.3092818 -0.10526 -0.1034525 -0.1006294,0.023581512945902716,0.2072709299579252,0.08930195537672021
