case,tau_ai_us,delay_events,update_us,update_events,policy,reward_mean,reward_std,max_abs_v_mV_p95,max_abs_phase_ns_p95,max_abs_i_mA_p95,violations_mean,violation_rate,skip_events_mean,projected_mean,settle_us_median,control_energy_mean,tail_state_cost_mean,tail_abs_phase_ns_mean,tail_abs_i_mA_mean,final_abs_phase_ns_mean,final_abs_i_mA_mean,baseline_reward_mean,baseline_violations_mean,baseline_phase_p95,reward_delta_vs_zero_delay,violation_delta_vs_zero_delay,phase_p95_delta_vs_zero_delay_ns
40A_to_10A,2.0,4,2.0,4,delay_aware_projected,-36.45834642455765,3.3421662589109102,6.5453666681568015,112.45733466610818,573.295857086679,0.0,0.0,0.046875,0.0,15.0,802.0778823728818,0.05873207711049521,4.13673167464978,23.697427255943936,0.41304367395252145,3.3657187084673783,-568.4075536538718,11.53125,112.45733466610818,531.9492072293142,-11.53125,0.0
40A_to_10A,2.0,4,2.0,4,no_ai,-62.62409995884354,6.803171002326622,7.448408614687718,112.45733466610818,367.67474689052244,0.0,0.0,0.046875,0.0,46.5,0.0,0.20237898917775868,8.97672453291901,9.570172300047515,0.5995956266753868,3.5555665952731097,-568.4075536538718,11.53125,112.45733466610818,505.78345369502824,-11.53125,0.0
40A_to_10A,2.0,4,2.0,4,zero_delay_trained,-568.4075536538718,3.047230016112484,6.5431763855188185,112.45733466610818,1162.8435667858068,11.53125,1.0,0.046875,0.0,9.0,3986.2879225044553,1.6734455586644934,12.75022724101094,506.0173111588042,0.8601524541542044,946.5865460403711,-568.4075536538718,11.53125,112.45733466610818,0.0,0.0,0.0
40A_to_10A,2.0,4,5.0,10,delay_aware,-690.8444809401174,7.051348610325299,6.5453666681568015,112.45733466610818,1426.6012640208344,26.96875,1.0,0.046875,0.0,9.5,5385.502407553477,1.7289446410733744,10.343233610872305,503.871485716323,13.479369835691934,340.2897541351954,-733.2995473242087,35.09375,112.45733466610818,42.45506638409131,-8.125,0.0
40A_to_10A,2.0,4,5.0,10,delay_aware_projected,-740.3948062748397,62.73793578112913,6.5453666681568015,112.45733466610818,1426.6012640208344,36.5625,1.0,0.046875,1.859375,19.0,5535.8942874605,2.014422835618267,12.593451764852627,541.1743074619195,14.471910709658399,378.72345740541846,-733.2995473242087,35.09375,112.45733466610818,-7.095258950630978,1.46875,0.0
40A_to_10A,2.0,4,5.0,10,no_ai,-62.62409995884354,6.803171002326622,7.448408614687718,112.45733466610818,367.67474689052244,0.0,0.0,0.046875,0.0,46.5,0.0,0.16774385388033705,7.262378897562011,6.8443161201608405,0.5995956266753868,3.5555665952731097,-733.2995473242087,35.09375,112.45733466610818,670.6754473653651,-35.09375,0.0
40A_to_10A,2.0,4,5.0,10,zero_delay_trained,-733.2995473242087,5.329701682538381,6.5431763855188185,112.45733466610818,1448.795337827458,35.09375,1.0,0.046875,0.0,9.5,4539.570939285915,2.231074659050471,16.578584344232514,581.0158069328381,13.048404715578696,571.7762935337728,-733.2995473242087,35.09375,112.45733466610818,0.0,0.0,0.0
40A_to_10A,2.0,4,10.0,20,delay_aware,-1998.5420925253643,44.02417480921107,14.950644756241369,126.23961686626066,2279.1260569253277,127.515625,1.0,3.484375,0.0,,19314.789060910818,6.773701767712501,41.42809514825198,936.397541907927,3.530737145262397,1410.115027987711,-1939.304735895147,126.421875,129.96288319108842,-59.23735663021739,1.09375,-3.7232663248277618
40A_to_10A,2.0,4,10.0,20,delay_aware_projected,-2642.9947879165225,91.12111483055743,22.327934302541255,191.5578269723639,2279.1260569253277,151.03125,1.0,29.015625,8.0,,14573.263213091583,10.493149775462351,108.97795835204033,800.0541294957027,77.73061454551357,80.99950777100226,-1939.304735895147,126.421875,129.96288319108842,-703.6900520213755,24.609375,61.594943781275475
40A_to_10A,2.0,4,10.0,20,no_ai,-62.62409995884354,6.803171002326622,7.448408614687718,112.45733466610818,367.67474689052244,0.0,0.0,0.046875,0.0,46.5,0.0,0.1211237513251867,4.979575328438001,4.77884732106181,0.5995956266753868,3.5555665952731097,-1939.304735895147,126.421875,129.96288319108842,1876.6806359363034,-126.421875,-17.50554852498024
