target_load_A,target_label,objective,ref_slew_us,interp_score,interp_undershoot_mV,interp_settle_time_us,interp_phase_spacing_std_ns,interp_skip_count_est
20.0,20A,score_settle010,36.0,2.572072440229886,1.226520207756288,0.938000000000024,40.83843384513384,0.0
20.0,20A,base,37.0,2.483683346154922,1.219740437717821,0.9380000000000241,41.46281252781953,0.0
20.0,20A,score_settle005,37.0,2.530583346154922,1.219740437717821,0.9380000000000241,41.46281252781953,0.0
20.0,20A,score_settle010,37.0,2.577483346154922,1.219740437717821,0.9380000000000241,41.46281252781953,0.0
20.0,20A,base,38.0,2.489094252079958,1.2129606676793538,0.938000000000024,42.08719121050522,0.0
20.0,20A,score_settle005,38.0,2.5359942520799583,1.2129606676793538,0.938000000000024,42.08719121050522,0.0
20.0,20A,score_settle010,38.0,2.582894252079958,1.2129606676793538,0.938000000000024,42.08719121050522,0.0
20.0,20A,base,39.0,2.4945051580049937,1.206180897640887,0.9380000000000239,42.71156989319091,0.0
20.0,20A,score_settle005,39.0,2.5414051580049937,1.206180897640887,0.9380000000000239,42.71156989319091,0.0
20.0,20A,score_settle010,39.0,2.588305158004994,1.206180897640887,0.9380000000000239,42.71156989319091,0.0
20.0,20A,base,40.0,2.49991606393003,1.19940112760242,0.938000000000024,43.3359485758766,0.0
20.0,20A,score_settle005,40.0,2.54681606393003,1.19940112760242,0.938000000000024,43.3359485758766,0.0
20.0,20A,score_settle010,40.0,2.59371606393003,1.19940112760242,0.938000000000024,43.3359485758766,0.0
20.0,20A,base,41.0,2.682492420856403,1.1958064032921119,0.938000000000024,42.65173357853726,0.1
20.0,20A,score_settle005,41.0,2.729392420856403,1.1958064032921119,0.938000000000024,42.65173357853726,0.1
20.0,20A,score_settle010,41.0,2.7762924208564033,1.1958064032921119,0.938000000000024,42.65173357853726,0.1
20.0,20A,base,42.0,2.865068777782776,1.192211678981804,0.9380000000000241,41.96751858119792,0.2
20.0,20A,score_settle005,42.0,2.9119687777827763,1.192211678981804,0.9380000000000241,41.96751858119792,0.2
20.0,20A,score_settle010,42.0,2.958868777782776,1.192211678981804,0.9380000000000241,41.96751858119792,0.2
20.0,20A,base,43.0,3.047645134709149,1.188616954671496,0.938000000000024,41.28330358385858,0.3
