case,r_scale,trim_limit_ns,full_required_trim_ns,full_required_trim_pkpk_ns,applied_trim_ns,applied_trim_pkpk_ns,dc_vout_V,dc_current_A,no_trim_current_pkpk_A,trimmed_current_pkpk_A,current_pkpk_reduction_pct,nominal_event_phase_wait_pkpk_ns_cost,nominal_event_wait_rms_ns_cost,cost_per_reduction_ns_per_pct
one_low_pm10%,0.9 1.03333 1.03333 1.03333,0.2,-0.25 0.08333333 0.08333333 0.08333333,0.3333333333333335,-0.2125 0.07083333 0.07083333 0.07083333,0.28333333333333355,1.0000080357142855,10.16071 9.946429 9.946429 9.946429,1.42857142857142,0.2142857142857082,85.00000000000034,94.66739272456988,40.144771973603895,1.1137340320537588
one_low_pm10%,0.9 1.03333 1.03333 1.03333,0.3,-0.25 0.08333333 0.08333333 0.08333333,0.3333333333333335,-0.25 0.08333333 0.08333333 0.08333333,0.3333333333333335,1.0,10 10 10 10,1.42857142857142,1.4921397450962104e-13,99.99999999998956,108.39983205968736,45.94826083584104,1.0839983205969868
one_low_pm10%,0.9 1.03333 1.03333 1.03333,0.5,-0.25 0.08333333 0.08333333 0.08333333,0.3333333333333335,-0.25 0.08333333 0.08333333 0.08333333,0.3333333333333335,1.0,10 10 10 10,1.42857142857142,1.4921397450962104e-13,99.99999999998956,108.39983205968736,45.94826083584104,1.0839983205969868
one_low_pm10%,0.9 1.03333 1.03333 1.03333,1.0,-0.25 0.08333333 0.08333333 0.08333333,0.3333333333333335,-0.25 0.08333333 0.08333333 0.08333333,0.3333333333333335,1.0,10 10 10 10,1.42857142857142,1.4921397450962104e-13,99.99999999998956,108.39983205968736,45.94826083584104,1.0839983205969868
monotonic_pm15%,0.85 0.95 1.05 1.15,0.0,-0.375 -0.125 0.125 0.375,0.7499999999999997,0 0 0 0,0.0,1.000189018987342,11.61646 10.39367 9.403797 8.586076,3.0303797468353935,3.0303797468353935,0.0,0.0,0.0,
monotonic_pm15%,0.85 0.95 1.05 1.15,0.05,-0.375 -0.125 0.125 0.375,0.7499999999999997,-0.05 -0.05 0.05 0.05,0.1,1.0001588670886077,11.40481 10.2043 9.613418 8.777468,3.0303797468353935,2.6273417721519046,13.29991645780958,40.85866662142319,19.61144401518739,3.072099494086024
monotonic_pm15%,0.85 0.95 1.05 1.15,0.1,-0.375 -0.125 0.125 0.375,0.7499999999999997,-0.1 -0.1 0.1 0.1,0.2,1.0001287151898735,11.19316 10.01494 9.823038 8.968861,3.0303797468353935,2.2243037974684157,26.59983291561917,81.67857963041824,39.181373907320705,3.070642582211761
monotonic_pm15%,0.85 0.95 1.05 1.15,0.2,-0.375 -0.125 0.125 0.375,0.7499999999999997,-0.2 -0.125 0.125 0.2,0.4,1.0000795474683544,10.76114 9.944177 9.949494 9.34519,3.0303797468353935,1.4159493670884764,53.27485380117316,156.3514552881848,65.90844757978147,2.9348077776375203
monotonic_pm15%,0.85 0.95 1.05 1.15,0.3,-0.375 -0.125 0.125 0.375,0.7499999999999997,-0.3 -0.125 0.125 0.3,0.6,1.000034091772152,10.3262 9.976076 9.978354 9.719367,3.0303797468353935,0.606835443037907,79.9749373433603,247.40246818433354,96.84948444864155,3.093499993906197
monotonic_pm15%,0.85 0.95 1.05 1.15,0.5,-0.375 -0.125 0.125 0.375,0.7499999999999997,-0.375 -0.125 0.125 0.375,0.7499999999999997,1.0,10 10 10 10,3.0303797468353935,2.0250467969162855e-13,99.99999999999332,326.1299437392228,127.16116473153913,3.261299437392446
