success,error_message,r029_case_id,target_label,objective,policy,policy_family,online_available_inputs_only,objective_alpha_settle,target_load_A,load_drop_A,selected_ref_slew_us,tau_ai_us,delay_events_at_0p5us,ref_start_delay_us,selection_basis,heldout_reason,vout_initial_V,vout_peak_V,vout_min_V,overshoot_mV,undershoot_mV,t_peak_us,settle_time_us,first_gate_edge_us,max_gate_gap_us,skip_count_est,final_vout_error_mV,final_il1_mean_A,final_il2_mean_A,final_il3_mean_A,final_il4_mean_A,final_il_total_mean_A,final_load_error_A,final_il_phase_imbalance_A,final_il_m2_projection_A,final_phase_spacing_mean_ns,final_phase_spacing_std_ns,final_phase_sequence_error_fraction,base_score,score_settle005,score_settle010,selected_objective_score,switching_regret_vs_best_in_context,chunk_file,chunk_order,switching_regret_combined
1,,R029_0011,10A,score_settle005,r028_dense_anchor,dense_anchor,1,0.05,10.0,30.0,50,3.0,6,3.0,conservative dense-anchor action,interpolates/extrapolates R027 delay guard boundary; not used to fit R028,0.99951236273925,1.00419623534961,0.995707687560759,4.19623534961322,4.29231243924144,1.01000000000002,23.976,2.85400000000352,1.03399999999655,1,-0.560716520996318,2.35720741199158,2.46528692482794,2.69500179300714,2.45410818221516,9.97160431204182,-0.0283956879581844,0.337794381015569,0.0332035244889062,575.757575757577,95.2099752873141,0,8.75722846598404,9.95602846598404,11.154828465984,9.95602846598404,0.337617360190821,iqcot_r029_heldout_guard_results_heldout_rows007_012.csv,1,0.337617360190821
1,,R029_0012,10A,score_settle005,old_proxy_62us,old_proxy_failure_probe,1,0.05,10.0,30.0,62,3.0,6,3.0,old R026 proxy action that failed in R027,interpolates/extrapolates R027 delay guard boundary; not used to fit R028,0.99951236273925,1.00419623534961,0.995707687560759,4.19623534961322,4.29231243924144,1.01000000000002,31.392,2.85400000000352,0.959999999999991,1,-0.55449120124651,2.33023831119087,2.50489910067932,2.5813460966489,2.57905607132704,9.99553957984613,-0.0044604201538742,0.251107785458026,-0.0430926910416451,576.060606060815,79.5117677587245,0,8.43703899566244,10.0066389956624,11.5762389956624,10.0066389956624,0.388227889869221,iqcot_r029_heldout_guard_results_heldout_rows007_012.csv,1,0.3882278898691798
1,,R029_0013,near0A,score_settle010,r028_dense_anchor,dense_anchor,1,0.1,0.001,39.999,30,0.0,0,0.0,dense/proxy action; R028 guard keeps this once delay exists,tests whether the near0A zero-delay 35us guard persists under small delay,0.99951236273925,1.00681664966986,0.98840809952131,6.81664966986206,11.5919004786901,1.49800000000006,14.796,4.18200000000351,1.45400000000002,2,-0.560538190342741,0.0101943081511316,-0.0346931355496013,0.0695281839319782,-0.0381572567775425,0.0068720997559659,0.0058720997559659,0.107685440709521,0.0381432211025634,594.969696969905,107.601256046834,0,18.3044637899695,19.0442637899695,19.7840637899695,19.7840637899695,0.234757295989073,iqcot_r029_heldout_guard_results_heldout_rows013_021.csv,2,0.23475729598910178
1,,R029_0014,near0A,score_settle010,r028_guarded_candidate,guarded_candidate,1,0.1,0.001,39.999,35,0.0,0,0.0,R028 zero-delay recovery guard action,tests whether the near0A zero-delay 35us guard persists under small delay,0.99951236273925,1.00681664966986,0.988907379542249,6.81664966986206,11.0926204577509,1.49800000000006,19.444,4.16400000000349,1.67600000000004,2,-0.557119158390962,-0.19555680167411,-0.158212910606564,0.159456776289154,0.205166121129863,0.010853185138342,0.009853185138342,0.400722922803973,-0.0207633089770637,593.5,103.952842906669,0,17.7287964742753,18.7009964742753,19.6731964742753,19.6731964742753,0.123889980294884,iqcot_r029_heldout_guard_results_heldout_rows013_021.csv,2,0.12388998029490139
1,,R029_0015,near0A,score_settle010,fine_sweep_38us_probe,heldout_probe,1,0.1,0.001,39.999,38,0.0,0,0.0,R024 fine-sweep local comparator,tests whether the near0A zero-delay 35us guard persists under small delay,0.99951236273925,1.00681664966986,0.989037589500378,6.81664966986206,10.9624104996224,1.49800000000006,21.702,4.15600000000353,1.67199999999998,2,-0.553701959433051,-0.203066490856251,0.0359845273358599,0.104815560780537,0.0159047135217805,-0.046361689218073,-0.047361689218073,0.307882051636788,-0.0375350427333385,589.1875,93.1497017462465,0,17.3791064939804,18.4642064939804,19.5493064939804,19.5493064939804,0.0,iqcot_r029_heldout_guard_results_heldout_rows013_021.csv,2,0.0
1,,R029_0016,near0A,score_settle010,r028_dense_anchor,dense_anchor,1,0.1,0.001,39.999,30,0.25,0,0.25,dense/proxy action; R028 guard keeps this once delay exists,tests whether the near0A zero-delay 35us guard persists under small delay,0.99951236273925,1.00681664966986,0.988842234555797,6.81664966986206,11.1577654442028,1.49800000000006,14.424,4.1680000000035,1.82000000000003,3,-0.556844159728787,-0.223881410584247,0.0085353681543509,0.0321723775872003,0.15958854433863,-0.0235851205040657,-0.0245851205040657,0.383469954922876,-0.0899582363725067,592.909090909299,109.040234442133,0,19.8954142927742,20.6166142927742,21.3378142927742,21.3378142927742,0.0025937615778488,iqcot_r029_heldout_guard_results_heldout_rows013_021.csv,2,0.002593761577802667
1,,R029_0017,near0A,score_settle010,near_opt_35us_probe,heldout_probe,1,0.1,0.001,39.999,35,0.25,0,0.25,near-opt comparator near the zero-delay guard,tests whether the near0A zero-delay 35us guard persists under small delay,0.99951236273925,1.00681664966986,0.98910265445508,6.81664966986206,10.8973455449204,1.49800000000006,19.304,4.15200000000352,1.80599999999998,3,-0.555255123216747,-0.241486366404686,0.0242711304384827,0.0604099214373442,0.131822806084116,-0.0249825084447434,-0.0259825084447434,0.373309172488802,-0.0842925953724851,594.18181818161,98.5753057781803,0,19.4241067837007,20.3893067837007,21.3545067837007,21.3545067837007,0.0192862525043829,iqcot_r029_heldout_guard_results_heldout_rows013_021.csv,2,0.01928625250430116
1,,R029_0018,near0A,score_settle010,fine_sweep_38us_probe,heldout_probe,1,0.1,0.001,39.999,38,0.25,0,0.25,R024 fine-sweep local comparator,tests whether the near0A zero-delay 35us guard persists under small delay,0.99951236273925,1.00681664966986,0.989232704270606,6.81664966986206,10.7672957293942,1.49800000000006,19.4460000000001,4.1440000000035,1.804,3,-0.564862592600912,-0.156725859006053,-0.0296577451807888,0.0460964864275686,0.0799155409536183,-0.0603715768056544,-0.0613715768056544,0.236641399959671,-0.0402217920878284,589.333333333124,102.923110460064,0,19.3906205311964,20.3629205311964,21.3352205311964,21.3352205311964,0.0,iqcot_r029_heldout_guard_results_heldout_rows013_021.csv,2,0.0
1,,R029_0019,near0A,score_settle010,r028_dense_anchor,dense_anchor,1,0.1,0.001,39.999,30,0.5,1,0.5,dense/proxy action; R028 guard keeps this once delay exists,tests whether the near0A zero-delay 35us guard persists under small delay,0.99951236273925,1.00681664966986,0.989070125314004,6.81664966986206,10.9298746859956,1.49800000000006,14.3580000000001,4.1540000000035,1.33799999999998,2,-0.545887397149447,-0.155954274138663,-0.0999249454512438,0.156170038340693,0.0908596897173453,-0.0088494915318685,-0.0098494915318685,0.312124312479356,0.0023202549839821,593.375000000215,93.4740778284929,0,17.3452436397149,18.0631436397149,18.7810436397149,18.7810436397149,0.0,iqcot_r029_heldout_guard_results_heldout_rows013_021.csv,2,0.0
1,,R029_0020,near0A,score_settle010,near_opt_35us_probe,heldout_probe,1,0.1,0.001,39.999,35,0.5,1,0.5,near-opt comparator near the zero-delay guard,tests whether the near0A zero-delay 35us guard persists under small delay,0.99951236273925,1.00681664966986,0.98924703972337,6.81664966986206,10.7529602766298,1.49800000000006,19.452,4.13938634033284,1.58200000000344,2,-0.547472896780699,-0.0940416080429951,-0.0679197032542045,0.0993193232983973,0.0612300795145257,-0.0014119084842765,-0.0024119084842765,0.193360931341392,0.0029918347487702,595.939393939394,95.6379695098853,0,17.2131925636082,18.1857925636082,19.1583925636082,19.1583925636082,0.377348923893255,iqcot_r029_heldout_guard_results_heldout_rows013_021.csv,2,0.377348923893301
