controller_mode,base_load_A,target_load_A,time_us,vout_V
dynamic_hold,40,20,-14.3879999999999,0.999641805503534
dynamic_hold,40,20,-14.352,0.999775039973002
dynamic_hold,40,20,-14.314,0.999832536691976
dynamic_hold,40,20,-14.2779999999999,0.999774782443231
dynamic_hold,40,20,-14.242,0.999713188295245
dynamic_hold,40,20,-14.204,0.999644015335828
dynamic_hold,40,20,-14.1679999999999,0.999574553359936
dynamic_hold,40,20,-14.132,0.999501276093618
dynamic_hold,40,20,-14.094,0.999419797641812
dynamic_hold,40,20,-14.058,0.999338703105429
dynamic_hold,40,20,-14.022,0.999253817861074
dynamic_hold,40,20,-13.984,0.999206319824856
dynamic_hold,40,20,-13.948,0.999315653914587
dynamic_hold,40,20,-13.912,0.999431508153139
dynamic_hold,40,20,-13.874,0.99956085711583
dynamic_hold,40,20,-13.838,0.999690070747471
dynamic_hold,40,20,-13.802,0.999795295593898
dynamic_hold,40,20,-13.764,0.999728000882423
dynamic_hold,40,20,-13.728,0.999664701892956
dynamic_hold,40,20,-13.6919999999999,0.9995975747133
dynamic_hold,40,20,-13.6539999999999,0.999522574029843
dynamic_hold,40,20,-13.618,0.999447603077782
dynamic_hold,40,20,-13.5819999999999,0.999368828531524
dynamic_hold,40,20,-13.5439999999999,0.999281560079588
dynamic_hold,40,20,-13.508,0.99920851034164
dynamic_hold,40,20,-13.4719999999999,0.99931843177354
dynamic_hold,40,20,-13.4339999999999,0.999441531923541
dynamic_hold,40,20,-13.398,0.999564838501504
dynamic_hold,40,20,-13.3619999999999,0.999694635790711
dynamic_hold,40,20,-13.3239999999999,0.999829550330388
dynamic_hold,40,20,-13.288,0.999768113586463
dynamic_hold,40,20,-13.2519999999999,0.999707106118314
dynamic_hold,40,20,-13.2139999999999,0.999638551156598
dynamic_hold,40,20,-13.178,0.999569673444204
dynamic_hold,40,20,-13.1419999999999,0.999496979266347
dynamic_hold,40,20,-13.1039999999999,0.999416115022387
dynamic_hold,40,20,-13.068,0.999335601160115
dynamic_hold,40,20,-13.032,0.999249189698791
dynamic_hold,40,20,-12.994,0.999349130533193
dynamic_hold,40,20,-12.958,0.999466466703588
dynamic_hold,40,20,-12.92,0.999597376514232
dynamic_hold,40,20,-12.884,0.999728065611346
dynamic_hold,40,20,-12.848,0.999865229754092
dynamic_hold,40,20,-12.81,0.999826037573913
dynamic_hold,40,20,-12.774,0.999767053537751
dynamic_hold,40,20,-12.738,0.999704232139827
dynamic_hold,40,20,-12.7,0.999633766501885
dynamic_hold,40,20,-12.664,0.999563082489458
dynamic_hold,40,20,-12.6279999999999,0.999488585721611
dynamic_hold,40,20,-12.59,0.999405822767448
dynamic_hold,40,20,-12.554,0.999323513937785
dynamic_hold,40,20,-12.5179999999999,0.999237416932613
dynamic_hold,40,20,-12.4799999999999,0.999277066847761
dynamic_hold,40,20,-12.444,0.999389764889932
dynamic_hold,40,20,-12.4079999999999,0.999508975942423
dynamic_hold,40,20,-12.3699999999999,0.999641860467213
dynamic_hold,40,20,-12.334,0.999774416247438
dynamic_hold,40,20,-12.2979999999999,0.999790019786781
dynamic_hold,40,20,-12.2599999999999,0.999726046035413
dynamic_hold,40,20,-12.224,0.999661498992891
dynamic_hold,40,20,-12.1879999999999,0.999593126318796
dynamic_hold,40,20,-12.1499999999999,0.999516813721684
dynamic_hold,40,20,-12.114,0.999440602532102
dynamic_hold,40,20,-12.0779999999999,0.999360590304531
dynamic_hold,40,20,-12.0399999999999,0.999272018183493
dynamic_hold,40,20,-12.004,0.999297015411016
dynamic_hold,40,20,-11.968,0.999410876491444
dynamic_hold,40,20,-11.9299999999999,0.999538126068831
dynamic_hold,40,20,-11.894,0.999665355074451
dynamic_hold,40,20,-11.858,0.999799066418352
dynamic_hold,40,20,-11.82,0.999845994480784
dynamic_hold,40,20,-11.784,0.999788143558636
dynamic_hold,40,20,-11.748,0.999726452886896
dynamic_hold,40,20,-11.71,0.99965717820369
dynamic_hold,40,20,-11.674,0.99958762001178
dynamic_hold,40,20,-11.638,0.999514246679212
dynamic_hold,40,20,-11.6,0.99943266698666
dynamic_hold,40,20,-11.564,0.999351476691997
dynamic_hold,40,20,-11.528,0.999266495839237
dynamic_hold,40,20,-11.49,0.99920801635965
dynamic_hold,40,20,-11.4539999999999,0.999316685072979
dynamic_hold,40,20,-11.418,0.99943187529097
dynamic_hold,40,20,-11.38,0.999560524813543
dynamic_hold,40,20,-11.3439999999999,0.999689077210362
dynamic_hold,40,20,-11.308,0.999805860392418
dynamic_hold,40,20,-11.27,0.999737182710552
dynamic_hold,40,20,-11.2339999999999,0.999673799473861
dynamic_hold,40,20,-11.198,0.999606588186477
dynamic_hold,40,20,-11.16,0.999531498873993
dynamic_hold,40,20,-11.1239999999999,0.999456444100991
dynamic_hold,40,20,-11.088,0.999377585873333
dynamic_hold,40,20,-11.05,0.999290229242429
dynamic_hold,40,20,-11.0139999999999,0.999209066952343
dynamic_hold,40,20,-10.9759999999999,0.999321781676152
dynamic_hold,40,20,-10.94,0.999437928777752
dynamic_hold,40,20,-10.9039999999999,0.999560581672575
dynamic_hold,40,20,-10.8659999999999,0.999697091426228
dynamic_hold,40,20,-10.83,0.999833074221412
dynamic_hold,40,20,-10.794,0.999773246232838
dynamic_hold,40,20,-10.7559999999999,0.99970865466992
dynamic_hold,40,20,-10.72,0.999643523623661
dynamic_hold,40,20,-10.684,0.999574568201852
dynamic_hold,40,20,-10.646,0.999497641844247
dynamic_hold,40,20,-10.61,0.999420850487249
dynamic_hold,40,20,-10.574,0.999340259346793
dynamic_hold,40,20,-10.536,0.999248967480277
dynamic_hold,40,20,-10.5,0.999342291906604
dynamic_hold,40,20,-10.464,0.999458979699618
dynamic_hold,40,20,-10.426,0.999589206577394
dynamic_hold,40,20,-10.39,0.999719250073355
dynamic_hold,40,20,-10.354,0.999855769964852
dynamic_hold,40,20,-10.316,0.999827225969505
dynamic_hold,40,20,-10.2799999999999,0.999768171381585
dynamic_hold,40,20,-10.244,0.999705279571906
dynamic_hold,40,20,-10.206,0.999634739762295
dynamic_hold,40,20,-10.1699999999999,0.999563985625792
dynamic_hold,40,20,-10.134,0.999489418873766
dynamic_hold,40,20,-10.096,0.999406582199146
dynamic_hold,40,20,-10.0599999999999,0.999324203672758
dynamic_hold,40,20,-10.024,0.999238037110647
dynamic_hold,40,20,-9.98599999999997,0.999255322814692
dynamic_hold,40,20,-9.94999999999994,0.999366809648368
dynamic_hold,40,20,-9.91399999999997,0.999484812048458
dynamic_hold,40,20,-9.87599999999997,0.999616423545531
dynamic_hold,40,20,-9.83999999999995,0.999747775924683
dynamic_hold,40,20,-9.80399999999998,0.999784453907766
dynamic_hold,40,20,-9.76599999999997,0.999720423413612
dynamic_hold,40,20,-9.72999999999995,0.999655822748131
dynamic_hold,40,20,-9.69399999999998,0.999587396580763
dynamic_hold,40,20,-9.65599999999998,0.99951102765914
dynamic_hold,40,20,-9.61999999999995,0.999434763242629
dynamic_hold,40,20,-9.58399999999998,0.999354697917588
dynamic_hold,40,20,-9.54599999999998,0.999266069889584
dynamic_hold,40,20,-9.50999999999996,0.999257347903396
dynamic_hold,40,20,-9.47399999999998,0.999369419236657
dynamic_hold,40,20,-9.43599999999998,0.999494783763486
dynamic_hold,40,20,-9.39999999999996,0.999620230840064
dynamic_hold,40,20,-9.36399999999999,0.999752164056183
dynamic_hold,40,20,-9.32599999999998,0.999819783156179
dynamic_hold,40,20,-9.28999999999996,0.999760977739136
dynamic_hold,40,20,-9.25399999999994,0.999698667204784
