success,error_message,r027_case_id,target_label,objective,policy,candidate_family,objective_alpha_settle,target_load_A,load_drop_A,selected_ref_slew_us,tau_ai_us,delay_events,ref_start_delay_us,selected_objective_score,base_score,score_settle005,score_settle010,undershoot_mV,settle_time_us,skip_count_est,final_phase_spacing_std_ns,final_vout_error_mV,final_il_phase_imbalance_A,dense_success,dense_error_message,dense_r027_case_id,dense_policy,dense_candidate_family,dense_objective_alpha_settle,dense_target_load_A,dense_load_drop_A,dense_selected_ref_slew_us,dense_delay_events,dense_ref_start_delay_us,dense_selected_objective_score,dense_base_score,dense_score_settle005,dense_score_settle010,dense_undershoot_mV,dense_settle_time_us,dense_skip_count_est,dense_final_phase_spacing_std_ns,dense_final_vout_error_mV,dense_final_il_phase_imbalance_A,context_best_slew_us,context_best_score,context_best_family,delta_from_dense_us,abs_delta_from_dense_us,score_margin_vs_dense,regret,skip_extra_vs_dense,settle_extra_vs_dense_us,phase_extra_vs_dense_ns,undershoot_delta_vs_dense_mV,score_safe_eps025,observed_bad_candidate,r032_band_decision,r032_band_reason,r_hat_skip_risk,r_hat_settle_risk,r_hat_phase_risk,r_hat_total_risk,predicted_block,predicted_plant_admissible
1,,R027_0150,20A,score_settle005,discrete_dense_long_table,r030_dense_baseline,0.05,20,20,30.0,0.5,1,0.5,2.78474769188034,2.73784769188034,2.78474769188034,2.83164769188035,1.1459824486415,0.938000000000024,0,57.0395574250314,-0.451074094738213,0.270973296897284,1,,R027_0150,discrete_dense_long_table,r030_dense_baseline,0.05,20,20,30.0,1,0.5,2.78474769188034,2.73784769188034,2.78474769188034,2.83164769188035,1.1459824486415,0.938000000000024,0,57.0395574250314,-0.451074094738213,0.270973296897284,50.0,2.26877971837553,r031_intermediate_candidate,0.0,0.0,0.0,0.5159679735048099,0,0.0,0.0,0.0,True,False,plant_admissible,dense fallback anchor,0.05,0.05,0.05,0.05,False,True
1,,R027_0151,20A,score_settle005,calibrated_risk_proxy_projection,r030_original_proxy,0.05,20,20,66.0,0.5,1,0.5,4.84634670296979,4.20614670296978,4.84634670296979,5.48654670296979,1.05841728359568,12.804,1,35.7285622272592,-0.433158174828918,0.210246866189591,1,,R027_0150,discrete_dense_long_table,r030_dense_baseline,0.05,20,20,30.0,1,0.5,2.78474769188034,2.73784769188034,2.78474769188034,2.83164769188035,1.1459824486415,0.938000000000024,0,57.0395574250314,-0.451074094738213,0.270973296897284,50.0,2.26877971837553,r031_intermediate_candidate,36.0,36.0,2.0615990110894504,2.5775669845942604,1,11.865999999999977,-21.3109951977722,-0.08756516504582001,False,True,blocked,large jump settling-sensitive negative sample; 66us direct override blocked,0.65,0.75,0.45,0.85,True,False
1,,R031_0011,20A,score_settle005,r031_minimal_candidate,r031_intermediate_candidate,0.05,20,20,38.0,0.5,1,0.5,4.17757679373559,4.13067679373559,4.17757679373559,4.22447679373559,1.11287107294222,0.938000000000024,1,29.4932868330774,-0.42793998413182,0.230515934089139,1,,R027_0150,discrete_dense_long_table,r030_dense_baseline,0.05,20,20,30.0,1,0.5,2.78474769188034,2.73784769188034,2.78474769188034,2.83164769188035,1.1459824486415,0.938000000000024,0,57.0395574250314,-0.451074094738213,0.270973296897284,50.0,2.26877971837553,r031_intermediate_candidate,8.0,8.0,1.3928291018552503,1.9087970753600603,1,0.0,-27.546270591954,-0.03311137569928002,False,True,candidate_only,intermediate band is informative but dense remains plant fallback here,0.65,0.35,0.3,0.75,False,False
1,,R031_0012,20A,score_settle005,r031_minimal_candidate,r031_intermediate_candidate,0.05,20,20,50.0,0.5,1,0.5,2.26877971837553,2.22187971837553,2.26877971837553,2.31567971837553,1.07689752922169,0.938000000000024,0,35.2053387007176,-0.440875415139486,0.24329560745863,1,,R027_0150,discrete_dense_long_table,r030_dense_baseline,0.05,20,20,30.0,1,0.5,2.78474769188034,2.73784769188034,2.78474769188034,2.83164769188035,1.1459824486415,0.938000000000024,0,57.0395574250314,-0.451074094738213,0.270973296897284,50.0,2.26877971837553,r031_intermediate_candidate,20.0,20.0,-0.5159679735048099,0.0,0,0.0,-21.8342187243138,-0.06908491941980999,True,False,plant_admissible,50us improves tau=0.5us held-out context,0.15,0.2,0.25,0.2,False,True
1,,R031_0013,20A,score_settle005,r031_minimal_candidate,r031_intermediate_candidate,0.05,20,20,58.0,0.5,1,0.5,2.30228999077829,2.25538999077828,2.30228999077829,2.34918999077829,1.05841728359568,0.938000000000024,0,37.8286797171471,-0.440399112839662,0.172080112636523,1,,R027_0150,discrete_dense_long_table,r030_dense_baseline,0.05,20,20,30.0,1,0.5,2.78474769188034,2.73784769188034,2.78474769188034,2.83164769188035,1.1459824486415,0.938000000000024,0,57.0395574250314,-0.451074094738213,0.270973296897284,50.0,2.26877971837553,r031_intermediate_candidate,28.0,28.0,-0.4824577011020499,0.033510272402760055,0,0.0,-19.2108777078843,-0.08756516504582001,True,False,candidate_only,intermediate band is informative but dense remains plant fallback here,0.25,0.35,0.3,0.55,False,False
1,,R027_0157,20A,score_settle005,discrete_dense_long_table,r030_dense_baseline,0.05,20,20,30.0,1.0,2,1.0,4.55941532061638,4.51251532061638,4.55941532061638,4.60631532061638,1.03994639868477,0.938000000000024,1,51.3919537194274,-0.444729847543068,0.208591767702265,1,,R027_0157,discrete_dense_long_table,r030_dense_baseline,0.05,20,20,30.0,2,1.0,4.55941532061638,4.51251532061638,4.55941532061638,4.60631532061638,1.03994639868477,0.938000000000024,1,51.3919537194274,-0.444729847543068,0.208591767702265,38.0,2.22102661291168,r031_intermediate_candidate,0.0,0.0,0.0,2.3383887077047003,0,0.0,0.0,0.0,True,False,plant_admissible,dense fallback anchor,0.05,0.05,0.05,0.05,False,True
1,,R027_0158,20A,score_settle005,calibrated_risk_proxy_projection,r030_original_proxy,0.05,20,20,66.0,1.0,2,1.0,2.87127449305964,2.28677449305964,2.87127449305964,3.45577449305964,1.00107392878601,11.69,0,41.9267916246662,-0.447164731780303,0.23246926351854,1,,R027_0157,discrete_dense_long_table,r030_dense_baseline,0.05,20,20,30.0,2,1.0,4.55941532061638,4.51251532061638,4.55941532061638,4.60631532061638,1.03994639868477,0.938000000000024,1,51.3919537194274,-0.444729847543068,0.208591767702265,38.0,2.22102661291168,r031_intermediate_candidate,36.0,36.0,-1.6881408275567402,0.6502478801479601,-1,10.751999999999976,-9.465162094761197,-0.03887246989875992,True,True,blocked,large jump settling-sensitive negative sample; 66us direct override blocked,0.65,0.75,0.45,0.85,True,False
1,,R031_0014,20A,score_settle005,r031_minimal_candidate,r031_intermediate_candidate,0.05,20,20,38.0,1.0,2,1.0,2.22102661291168,2.17412661291168,2.22102661291168,2.26792661291169,1.03994639868477,0.938000000000024,0,34.7073021904158,-0.440034170418602,0.295430323861864,1,,R027_0157,discrete_dense_long_table,r030_dense_baseline,0.05,20,20,30.0,2,1.0,4.55941532061638,4.51251532061638,4.55941532061638,4.60631532061638,1.03994639868477,0.938000000000024,1,51.3919537194274,-0.444729847543068,0.208591767702265,38.0,2.22102661291168,r031_intermediate_candidate,8.0,8.0,-2.3383887077047003,0.0,-1,0.0,-16.684651529011596,0.0,True,False,plant_admissible,38us improves tau=1us held-out context,0.15,0.2,0.25,0.2,False,True
1,,R031_0015,20A,score_settle005,r031_minimal_candidate,r031_intermediate_candidate,0.05,20,20,50.0,1.0,2,1.0,4.41047487268998,4.36357487268998,4.41047487268998,4.45737487268998,1.0220398313967,0.938000000000024,1,44.8993528680649,-0.44354798393198,0.249261549600104,1,,R027_0157,discrete_dense_long_table,r030_dense_baseline,0.05,20,20,30.0,2,1.0,4.55941532061638,4.51251532061638,4.55941532061638,4.60631532061638,1.03994639868477,0.938000000000024,1,51.3919537194274,-0.444729847543068,0.208591767702265,38.0,2.22102661291168,r031_intermediate_candidate,20.0,20.0,-0.1489404479264005,2.1894482597783,0,0.0,-6.492600851362496,-0.01790656728806983,True,False,candidate_only,intermediate band is informative but dense remains plant fallback here,0.25,0.35,0.3,0.55,False,False
1,,R031_0016,20A,score_settle005,r031_minimal_candidate,r031_intermediate_candidate,0.05,20,20,58.0,1.0,2,1.0,4.47157141718475,4.42467141718474,4.47157141718475,4.51847141718475,1.0220398313967,0.938000000000024,1,47.87589777155,-0.445113630357041,0.145633335505658,1,,R027_0157,discrete_dense_long_table,r030_dense_baseline,0.05,20,20,30.0,2,1.0,4.55941532061638,4.51251532061638,4.55941532061638,4.60631532061638,1.03994639868477,0.938000000000024,1,51.3919537194274,-0.444729847543068,0.208591767702265,38.0,2.22102661291168,r031_intermediate_candidate,28.0,28.0,-0.08784390343163029,2.25054480427307,0,0.0,-3.5160559478773976,-0.01790656728806983,True,False,candidate_only,intermediate band is informative but dense remains plant fallback here,0.25,0.35,0.3,0.55,False,False
