case,rho,detection_delay_ns,sigma_area,v_min_after_mV,v_max_after_mV,v_pp_high_mV,v_mean_pre_V,v_mean_high_V,v_mean_post_V,period_mean_us,period_std_ns,pre_period_mean_us,pre_period_std_ns,high_period_mean_us,high_period_std_ns,post_period_mean_us,post_period_std_ns,duty_mean,duty_std,event_count,kp_vc,objective,unconstrained_objective,feasible
rho-0.08_kp0.32_sig0e+00,-0.08,0.0,0.0,-8.250929784123674,3.3344258647654,2.5822387820428894,1.0009767768955693,0.9939211831869647,1.0021942053015662,2.0302360655737703,48.86807276064873,2.031586206896552,0.8101613878915359,2.030494382022473,0.913366356533698,2.029246376811594,0.9691741157843007,0.08381378155354201,0.0018973737318133013,393,0.32,11.376096119747134,9.584700130029834,True
rho-0.08_kp0.32_sig8e-12,-0.08,0.0,8e-12,-8.2464356601466,3.3386453278112516,2.6077889947916377,1.0009686450429136,0.9939207680701889,1.0021959910119054,2.030229508196722,48.85240180434629,2.031448275862069,2.457728231892939,2.030494382022473,2.3849886132953206,2.029246376811594,1.9292244976516424,0.0838133262554401,0.001896908188867543,393,0.32,12.75179902715955,9.581893791271101,False
rho-0.04_kp0.04_sig0e+00,-0.04,0.0,0.0,-47.93211087384375,40.89328170259754,37.74134524989281,1.0017583564978116,0.9722115736034764,1.03298731757093,2.031586885245902,45.02414461702776,2.03,0.9097176522925693,2.0683218390804594,16.66677764529082,1.9806197183098593,11.993385732525798,0.08375700187410094,0.0016380804374338013,393,0.04,86.83038994852429,64.28942355488276,False
rho-0.04_kp0.04_sig8e-12,-0.04,0.0,8e-12,-47.906657472725826,40.944635193721936,37.67737597616427,1.0017449259755313,0.972219406444543,1.0329987789323205,2.0315803278688525,45.04636161749896,2.029931034482759,2.13236204603238,2.068298850574713,16.715410291332407,1.980591549295774,12.10468127904826,0.08375705650117152,0.0016395171143443528,393,0.04,87.23685689694034,64.2845115502146,False
rho-0.04_kp0.08_sig0e+00,-0.04,0.0,0.0,-27.677442321027424,17.632409133280458,15.925170337812599,1.001574460044096,0.9810091034846823,1.014684257002161,2.0340524590163938,30.65103216274683,2.030344827586207,0.7554793896619922,2.0544772727272727,5.9619575658106765,2.0077714285714294,3.2696501716386295,0.08364310668623526,0.001113098363764974,393,0.08,43.82394707070875,34.730405974339604,False
rho-0.04_kp0.08_sig8e-12,-0.04,0.0,8e-12,-27.700229944022436,17.65318859700793,15.93683176342575,1.0015621892640374,0.9810117489178317,1.0146932236815138,2.0340524590163938,30.70190684822638,2.0302758620689656,2.015398509823561,2.054454545454546,6.16977436398533,2.0077142857142856,3.629808563009295,0.08364296722559902,0.0011157168321256736,393,0.08,44.36394613326625,34.761505382825604,False
rho-0.04_kp0.12_sig0e+00,-0.04,0.0,0.0,-19.436816129451362,10.032936696431127,9.131795242786955,1.0012866428177225,0.9856995892163225,1.0083937587957157,2.0337508196721314,30.916336723118967,2.030896551724138,0.9946348346084001,2.0460689655172413,3.0391813153833516,2.018142857142857,1.5610043862490555,0.08364879336103441,0.0011214343286148093,393,0.12,28.58177105656568,23.449990808023813,True
rho-0.04_kp0.12_sig8e-12,-0.04,0.0,8e-12,-19.445856142617068,10.064645539712425,9.15381391147385,1.001276920457113,0.9856971115362616,1.0084047613722693,2.0337508196721314,31.01459531057808,2.0308275862068967,2.00118870738392,2.0460919540229887,3.5351508573316943,2.018085714285713,2.1497033492469066,0.08364869678881937,0.0011254677530526495,393,0.12,29.212555147029956,23.471714358502037,True
rho-0.04_kp0.16_sig0e+00,-0.04,0.0,0.0,-15.030687407114884,6.658963871013279,6.06535745290171,1.0010665940037706,0.9885386446260307,1.0055174510875509,2.033049180327869,34.06648573228379,2.0313793103448274,0.9252695079267065,2.0407954545454543,2.0122301677321635,2.0231884057971006,1.09379491386699,0.08367567715129305,0.001241913341583114,393,0.16,21.17688106984149,17.694272955520198,True
rho-0.04_kp0.16_sig8e-12,-0.04,0.0,8e-12,-15.0386930082812,6.652520165022491,6.0805762366968885,1.0010582649821878,0.9885384323272527,1.0055197948384933,2.033049180327869,34.18523611415627,2.0313103448275855,2.1830609367381384,2.040818181818182,2.7574092523864784,2.0231884057971006,2.10778654639696,0.08367561489672723,0.001246756929664669,393,0.16,22.00482095625027,17.699701074290196,True
