success,error_message,r027_case_id,target_label,objective,policy,objective_alpha_settle,target_load_A,load_drop_A,selected_ref_slew_us,tau_ai_us,delay_events,ref_start_delay_us,selected_objective_score,undershoot_mV,settle_time_us,skip_count_est,final_phase_spacing_std_ns,final_vout_error_mV,evidence_source,source_priority,load_drop_norm,dense_slew_us,candidate_minus_dense_us,qphi_center_us,candidate_minus_qphi_center_us,context_best_score,context_regret,near_best_label,skip_risk_label,settling_risk_label,phase_risk_label,unsafe_label,rhat_label_vector
True,,R032_0023,20A,score_settle005,r032_delay_band_candidate,0.05,20,20,38.0,1.5,3,1.5,2.34625758081584,0.991779598240816,0.938000000000024,0,43.3554430450705,-0.440469121673615,R034_full_transition,1,0.5,30.0,8.0,50.0,-12.0,2.14124057585513,0.20501700496070985,1,0,0,0,0,"skip=0,settle=0,phase=0"
True,,R032_0024,20A,score_settle005,r032_delay_band_candidate,0.05,20,20,50.0,1.5,3,1.5,2.14124057585513,0.991779598240816,0.938000000000024,0,33.4676816392218,-0.433207344829878,R034_full_transition,1,0.5,30.0,20.0,50.0,0.0,2.14124057585513,0.0,1,0,0,0,0,"skip=0,settle=0,phase=0"
True,,R032_0025,20A,score_settle005,r032_delay_band_candidate,0.05,20,20,58.0,1.5,3,1.5,2.95347679866476,0.991779598240816,12.232,0,45.5676019697673,-0.438745161028598,R034_full_transition,1,0.5,30.0,28.0,50.0,8.0,2.14124057585513,0.8122362228096298,0,0,1,0,1,"skip=0,settle=1,phase=0"
True,,R032_0026,20A,score_settle005,r032_delay_band_candidate,0.05,20,20,66.0,1.5,3,1.5,2.78479163508632,0.991779598240816,12.27,0,37.0754271946765,-0.438003492951977,R033_delay_boundary,2,0.5,30.0,36.0,50.0,16.0,2.14124057585513,0.6435510592311902,0,0,1,0,1,"skip=0,settle=1,phase=0"
True,,R036_0002,20A,score_settle005,r036_dense_fallback_pair,0.05,20,20,30.0,1.75,4,1.75,4.31719138789756,0.991779598240816,0.938000000000024,1,41.9226821712128,-0.440058146232492,R036_dense_pair,0,0.5,30.0,0.0,54.0,-24.0,2.14184679648936,2.1753445914081997,0,1,0,0,1,"skip=1,settle=0,phase=0"
True,,R034_0011,20A,score_settle005,r034_transition_pocket_candidate,0.05,20,20,38.0,1.75,4,1.75,2.30073671402463,0.991779598240816,0.938000000000024,0,41.3419781723188,-0.435217552337441,R036_dense_pair,0,0.5,30.0,8.0,54.0,-16.0,2.14184679648936,0.15888991753527026,1,0,0,0,0,"skip=0,settle=0,phase=0"
True,,R034_0012,20A,score_settle005,r034_transition_pocket_candidate,0.05,20,20,46.0,1.75,4,1.75,4.17839615172919,0.991779598240816,0.938000000000024,1,35.195995034956,-0.435796652789255,R036_dense_pair,0,0.5,30.0,16.0,54.0,-8.0,2.14184679648936,2.0365493552398304,0,1,0,0,1,"skip=1,settle=0,phase=0"
True,,R034_0013,20A,score_settle005,r034_transition_pocket_candidate,0.05,20,20,50.0,1.75,4,1.75,2.88593932063923,0.991779598240816,12.2020000000001,0,42.5004201674291,-0.434051319049833,R036_dense_pair,0,0.5,30.0,20.0,54.0,-4.0,2.14184679648936,0.7440925241498699,0,0,1,0,1,"skip=0,settle=1,phase=0"
True,,R034_0014,20A,score_settle005,r034_transition_pocket_candidate,0.05,20,20,54.0,1.75,4,1.75,2.14184679648936,1.00803410686667,0.938000000000024,0,32.6242192638823,-0.434428304345036,R036_dense_pair,0,0.5,30.0,24.0,54.0,0.0,2.14184679648936,0.0,1,0,0,0,0,"skip=0,settle=0,phase=0"
True,,R034_0015,20A,score_settle005,r034_transition_pocket_candidate,0.05,20,20,58.0,1.75,4,1.75,2.99182104466666,0.991779598240816,12.246,0,47.0941376254198,-0.445858693917445,R036_dense_pair,0,0.5,30.0,28.0,54.0,4.0,2.14184679648936,0.8499742481773,0,0,1,0,1,"skip=0,settle=1,phase=0"
True,,R027_0164,20A,score_settle005,discrete_dense_long_table,0.05,20,20,30.0,2.0,4,2.0,2.09256629605036,0.991779598240816,0.938000000000024,0,31.1333126564203,-0.431220444681135,R031_minimal_dense_inclusive,3,0.5,30.0,0.0,46.0,-16.0,2.09256629605036,0.0,1,0,0,0,0,"skip=0,settle=0,phase=0"
True,,R034_0016,20A,score_settle005,r034_transition_pocket_candidate,0.05,20,20,38.0,2.0,4,2.0,2.5790621856906,0.991779598240816,0.938000000000024,0,54.2581717949389,-0.455219151551001,R034_full_transition,1,0.5,30.0,8.0,46.0,-8.0,2.09256629605036,0.48649588964024026,0,0,0,1,1,"skip=0,settle=0,phase=1"
True,,R034_0017,20A,score_settle005,r034_transition_pocket_candidate,0.05,20,20,46.0,2.0,4,2.0,2.27393957181685,0.991779598240816,0.938000000000024,0,39.7220964169689,-0.440818045236657,R034_full_transition,1,0.5,30.0,16.0,46.0,0.0,2.09256629605036,0.18137327576648987,1,0,0,0,0,"skip=0,settle=0,phase=0"
True,,R034_0018,20A,score_settle005,r034_transition_pocket_candidate,0.05,20,20,50.0,2.0,4,2.0,2.30068098631418,0.991779598240816,0.938000000000024,0,40.6779063319901,-0.448443261433562,R034_full_transition,1,0.5,30.0,20.0,46.0,4.0,2.09256629605036,0.20811469026382,1,0,0,0,0,"skip=0,settle=0,phase=0"
