case,events,burn,max_abs_wait_exact_ns,rms_wait_exact_ns,rms_wait_pred_ns,rms_wait_error_ps,rms_wait_error_pct,max_wait_error_ps,max_wait_error_pct_of_peak,max_state_error,max_current_error_mA,dataset,input_type,input_pattern,amplitude_si,amplitude_label,ton_pattern,lambda_pattern_vector,ton_pattern_vector
lambda_m1_cos_2.000e-13,900,120,0.1319173275157785,0.08890923124720584,0.08890926586724586,0.0051329635528723095,0.0057732627769555974,0.009957075072485354,0.007547966032964395,4.845724838238325e-08,6.03773493423887e-05,amplitude_sweep,Lambda,m1_cos,2e-13,2e-13 V*s,,2e-13 0 -2e-13 0,0 0 0 0
lambda_m1_cos_4.000e-13,900,120,0.2638250444847232,0.17781844688716852,0.17781853173449172,0.02056395191976591,0.0115645773988873,0.03970026788677309,0.01504795269316137,1.9371175134861706e-07,0.00024016128108428347,amplitude_sweep,Lambda,m1_cos,4e-13,4e-13 V*s,,4e-13 0 -4e-13 0,0 0 0 0
lambda_m1_cos_8.000e-13,900,120,0.5277291951659594,0.3556368291569855,0.35563706346898344,0.08229609959308493,0.023140488511317177,0.1586013396727645,0.030053546615492404,7.749458369192466e-07,0.0009572317107853223,amplitude_sweep,Lambda,m1_cos,8e-13,8e-13 V*s,,8e-13 0 -8e-13 0,0 0 0 0
lambda_m1_cos_1.600e-12,900,120,1.0557747817955885,0.7112733737883449,0.7112741269379669,0.32922800964781385,0.04628712697261502,0.6338883404806691,0.06004011001310297,3.1005215543364155e-06,0.0038235167174605067,amplitude_sweep,Lambda,m1_cos,1.6e-12,16e-13 V*s,,1.6e-12 0 -1.6e-12 0,0 0 0 0
lambda_m1_sin_2.500e-14,900,120,0.016491058198256674,0.011113391191451744,0.011113395225320627,8.108513135306024e-05,0.0007296164596044249,0.00016686711369255536,0.0010118641974727579,7.641711988873637e-10,1.0193872412855853e-06,amplitude_sweep,Lambda,m1_sin,2.5e-14,0.25e-13 V*s,,0 2.5e-14 0 -2.5e-14,0 0 0 0
lambda_m1_sin_5.000e-14,900,120,0.03298242624153603,0.022226782223873077,0.022226790450641253,0.00032253381935708306,0.001451104420372013,0.0006434204313900381,0.0019507977572000268,3.0332367491342363e-09,3.921476476875796e-06,amplitude_sweep,Lambda,m1_sin,5e-14,0.5e-13 V*s,,0 5e-14 0 -5e-14,0 0 0 0
lambda_m1_sin_1.000e-13,900,120,0.06596609058901348,0.04445356491265619,0.044453580901282506,0.001286202218443507,0.0028933612432898888,0.0025228106400459025,0.0038244052626427304,1.2110093484946202e-08,1.528864679301023e-05,amplitude_sweep,Lambda,m1_sin,1e-13,1e-13 V*s,,0 1e-13 0 -1e-13,0 0 0 0
lambda_m1_sin_2.000e-13,900,120,0.13193712609628663,0.08890713257984763,0.08890716180256501,0.005146764345761501,0.005788921761861102,0.009984886812449655,0.0075679129202517,4.8513829302562414e-08,6.0423470671366886e-05,amplitude_sweep,Lambda,m1_sin,2e-13,2e-13 V*s,,0 2e-13 0 -2e-13,0 0 0 0
lambda_m1_sin_4.000e-13,900,120,0.263894040875819,0.17781427790050858,0.17781432360513003,0.020594504865264242,0.011582031042966847,0.03972857264832861,0.01505474413763808,1.9371663251830425e-07,0.00024011031918291792,amplitude_sweep,Lambda,m1_sin,4e-13,4e-13 V*s,,0 4e-13 0 -4e-13,0 0 0 0
lambda_m1_sin_8.000e-13,900,120,0.5278673011337757,0.3556286049611553,0.35562864721026005,0.08236849271022921,0.0231613800355644,0.15854465906857584,0.030034946041940264,7.744946222242987e-07,0.0009567882317540466,amplitude_sweep,Lambda,m1_sin,8e-13,8e-13 V*s,,0 8e-13 0 -8e-13,0 0 0 0
lambda_m1_sin_1.600e-12,900,120,1.0560514434659585,0.7112573795107024,0.7112572944205201,0.329418695268048,0.046314977497269136,0.6333253818071858,0.05997107297430638,3.097781830185744e-06,0.00382091910111626,amplitude_sweep,Lambda,m1_sin,1.6e-12,16e-13 V*s,,0 1.6e-12 0 -1.6e-12,0 0 0 0
lambda_m2_alt_2.500e-14,900,120,0.01640693194128549,0.015671240761518337,0.0156712458725889,5.743970707025019e-05,0.0003665294148967247,0.00010876584650555953,0.0006629261759285244,1.049359719215335e-09,1.1510401520808955e-06,amplitude_sweep,Lambda,m2_alt,2.5e-14,0.25e-13 V*s,,2.5e-14 -2.5e-14 2.5e-14 -2.5e-14,0 0 0 0
lambda_m2_alt_5.000e-14,900,120,0.03281366837582593,0.031342481147538695,0.0313424917451778,0.00022906115451419565,0.0007308328700460387,0.0004138100321367074,0.0012610904315762644,4.168219606493287e-09,4.327854519203811e-06,amplitude_sweep,Lambda,m2_alt,5e-14,0.5e-13 V*s,,5e-14 -5e-14 5e-14 -5e-14,0 0 0 0
lambda_m2_alt_1.000e-13,900,120,0.06562655227304068,0.06268496036124595,0.0626849834903556,0.0009156456322150157,0.0014607102356582172,0.0016108254261225185,0.0024545330667694455,1.6606685236154883e-08,1.68809544121018e-05,amplitude_sweep,Lambda,m2_alt,1e-13,1e-13 V*s,,1e-13 -1e-13 1e-13 -1e-13,0 0 0 0
lambda_m2_alt_2.000e-13,900,120,0.13124996803755246,0.12536991305273432,0.1253699669807112,0.003662125803432528,0.002921056347779494,0.0063566574858266904,0.004843168787673885,6.630298484246525e-08,6.684781794774608e-05,amplitude_sweep,Lambda,m2_alt,2e-13,2e-13 V*s,,2e-13 -2e-13 2e-13 -2e-13,0 0 0 0
lambda_m2_alt_4.000e-13,900,120,0.2624873825982168,0.25073978908299704,0.2507399339614224,0.014648386419262482,0.00584206697821451,0.025259738034099866,0.009623219898826278,2.650801399850869e-07,0.00026656493012922056,amplitude_sweep,Lambda,m2_alt,4e-13,4e-13 V*s,,4e-13 -4e-13 4e-13 -4e-13,0 0 0 0
lambda_m2_alt_8.000e-13,900,120,0.5249927424817752,0.5014793834437595,0.5014798679228448,0.05859427729658701,0.011684284385573012,0.10074814714030626,0.019190388549762412,1.0602623275613593e-06,0.0010646248806978065,amplitude_sweep,Lambda,m2_alt,8e-13,8e-13 V*s,,8e-13 -8e-13 8e-13 -8e-13,0 0 0 0
lambda_m2_alt_1.600e-12,900,120,1.0501850857719943,1.0029576170434984,1.0029597358456896,0.23438180683492482,0.023369063941687942,0.40277269832463075,0.03835254411640699,4.242459307999408e-06,0.004254728969144139,amplitude_sweep,Lambda,m2_alt,1.6e-12,16e-13 V*s,,1.6e-12 -1.6e-12 1.6e-12 -1.6e-12,0 0 0 0
lambda_one_phase_2.500e-14,900,120,0.016458857543129292,0.009066410455202255,0.009066367566676505,5.435095230637949e-05,0.0005994759731531151,0.00015283674496966763,0.000928598747325989,6.503656254560068e-10,7.461302686806448e-07,amplitude_sweep,Lambda,one_phase,2.5e-14,0.25e-13 V*s,,2.5e-14 -8.3333333e-15 -8.3333333e-15 -8.3333333e-15,0 0 0 0
lambda_one_phase_5.000e-14,900,120,0.03291807474830645,0.018132947300826024,0.01813273513335301,0.00023914166913226894,0.001318824045340799,0.0006653355378047728,0.002021186059306225,2.540633494113164e-09,3.395635772562855e-06,amplitude_sweep,Lambda,one_phase,5e-14,0.5e-13 V*s,,5e-14 -1.6666667e-14 -1.6666667e-14 -1.6666667e-14,0 0 0 0
lambda_one_phase_1.000e-13,900,120,0.06583750463095565,0.036266340280525396,0.03626547026670602,0.0009745498811344283,0.002687202164861808,0.002685805418362047,0.004079445953210123,1.030479113321779e-08,1.4406872139716143e-05,amplitude_sweep,Lambda,one_phase,1e-13,1e-13 V*s,,1e-13 -3.3333333e-14 -3.3333333e-14 -3.3333333e-14,0 0 0 0
lambda_one_phase_2.000e-13,900,120,0.13168045624799196,0.07253444418330073,0.07253094053341204,0.0039244551609347485,0.0054104711287472134,0.010818596917391236,0.00821579543817552,4.128040909443095e-08,5.8840285532824055e-05,amplitude_sweep,Lambda,one_phase,2e-13,2e-13 V*s,,2e-13 -6.6666667e-14 -6.6666667e-14 -6.6666667e-14,0 0 0 0
lambda_one_phase_4.000e-13,900,120,0.2633827006701172,0.1450759440030064,0.14506188106682408,0.015751590582117742,0.010857479294976238,0.043425367968077534,0.01648755512704198,1.6524467439510675e-07,0.00023768739509932857,amplitude_sweep,Lambda,one_phase,4e-13,4e-13 V*s,,4e-13 -1.3333333e-13 -1.3333333e-13 -1.3333333e-13,0 0 0 0
lambda_one_phase_8.000e-13,900,120,0.5268525704590954,0.2901801106528638,0.29012376213364816,0.06311554869164279,0.021750473714287937,0.17401985479705626,0.0330300855598781,6.612731562464277e-07,0.0009553638662396224,amplitude_sweep,Lambda,one_phase,8e-13,8e-13 V*s,,8e-13 -2.6666667e-13 -2.6666667e-13 -2.6666667e-13,0 0 0 0
lambda_one_phase_1.600e-12,900,120,1.0540539317322826,0.5804731059905159,0.5802475242672963,0.2526851937526217,0.04353090455783325,0.6968305236859266,0.06610957017547689,2.6460692144343427e-06,0.003830972513441111,amplitude_sweep,Lambda,one_phase,1.6e-12,16e-13 V*s,,1.6e-12 -5.3333333e-13 -5.3333333e-13 -5.3333333e-13,0 0 0 0
ton_common_0.0020ns,900,120,0.005433546633574201,0.0016191661589693622,0.001619166783780927,1.87647195744283e-05,0.001158912534731611,5.646568309669626e-05,0.0010392049043582605,7.607330344545742e-10,8.281650920594075e-07,amplitude_sweep,Ton,common,2e-12,0.002 ns,common,0 0 0 0,2e-12 2e-12 2e-12 2e-12
ton_common_0.0050ns,900,120,0.013583967058666067,0.004047909378199962,0.004047916959452306,0.00011369260103184708,0.002808674562828387,0.0002700384086178962,0.0019879200785136012,4.227352806945427e-09,4.583173840444488e-06,amplitude_sweep,Ton,common,5e-12,0.005 ns,common,0 0 0 0,5e-12 5e-12 5e-12 5e-12
ton_common_0.0100ns,900,120,0.02716844704459197,0.008095806257173922,0.008095833918904612,0.0004565200190837803,0.0056389691722086984,0.0010239695346454332,0.003768966010330943,1.6747833576024294e-08,1.7947963115716448e-05,amplitude_sweep,Ton,common,1e-11,0.01 ns,common,0 0 0 0,1e-11 1e-11 1e-11 1e-11
ton_common_0.0200ns,900,120,0.05433893613723019,0.016191587964951935,0.016191667837809225,0.0018375698501517015,0.011348916821063365,0.004201532990239574,0.007732085478502595,6.67720390322684e-08,7.12258074742067e-05,amplitude_sweep,Ton,common,2e-11,0.02 ns,common,0 0 0 0,2e-11 2e-11 2e-11 2e-11
ton_common_0.0500ns,900,120,0.1358625648488155,0.04047875454060644,0.04047916959452311,0.01151143779252774,0.028438221292060733,0.02627302259377863,0.019337940972198337,4.1736128981225556e-07,0.0004440762024771061,amplitude_sweep,Ton,common,5e-11,0.05 ns,common,0 0 0 0,5e-11 5e-11 5e-11 5e-11
ton_common_0.1000ns,900,120,0.2717759116976346,0.08095678121351534,0.08095833918904621,0.04605915973255658,0.05689351656790825,0.10511941706595775,0.03867871012163461,1.6693700898417346e-06,0.0017746564759946182,amplitude_sweep,Ton,common,1e-10,0.1 ns,common,0 0 0 0,1e-10 1e-10 1e-10 1e-10
ton_m1_cos_0.0020ns,900,120,0.8190947756058607,0.4619837011786993,0.46197939625048845,0.8471319033229151,0.18336835285780723,1.734028836334945,0.21170063440489337,9.190269658978806e-06,0.011505627698582543,amplitude_sweep,Ton,m1_cos,2e-12,0.002 ns,m1_cos,0 0 0 0,2e-12 0 -2e-12 0
ton_m1_cos_0.0050ns,900,120,2.0542794220154312,1.1549959962877379,1.1549484906262213,5.294808658825598,0.45842658120405566,10.877555091618353,0.5295070853090911,5.75109857972253e-05,0.0720607136113216,amplitude_sweep,Ton,m1_cos,5e-12,0.005 ns,m1_cos,0 0 0 0,5e-12 0 -5e-12 0
ton_m1_cos_0.0100ns,900,120,4.130544180492543,2.3102088799321248,2.3098969812524426,21.18077512932306,0.91683376829308,43.7404466449168,1.0589511873881232,0.00023045158305116942,0.28902119778528856,amplitude_sweep,Ton,m1_cos,1e-11,0.01 ns,m1_cos,0 0 0 0,1e-11 0 -1e-11 0
ton_m1_cos_0.0200ns,900,120,8.350374664372595,4.62199343904592,4.619793962504885,84.74201419986589,1.8334516333142714,176.76719667734199,2.1168774310394776,0.0009250645119230072,1.162086484727709,amplitude_sweep,Ton,m1_cos,2e-11,0.02 ns,m1_cos,0 0 0 0,2e-11 0 -2e-11 0
ton_m1_cos_0.0500ns,900,120,21.57332498206661,11.580956889698017,11.54948490626221,530.3653347500363,4.57963309769186,1139.3063128284673,5.2810881668706395,0.005848330994353841,7.379885866654945,amplitude_sweep,Ton,m1_cos,5e-11,0.05 ns,m1_cos,0 0 0 0,5e-11 0 -5e-11 0
ton_m1_cos_0.1000ns,900,120,45.667514127555904,23.342642505232966,23.09896981252442,2131.2285257506765,9.130193915589876,4799.4767890796165,10.509608155315814,0.023922174216854372,30.373193131264742,amplitude_sweep,Ton,m1_cos,1e-10,0.1 ns,m1_cos,0 0 0 0,1e-10 0 -1e-10 0
ton_m2_alt_0.0020ns,900,120,0.8160181270539739,0.6528702437553057,0.6528716752054886,0.5584303923514139,0.08553466752280295,1.0485699147023249,0.12849836050675983,1.2673561437459395e-05,0.012712211402643447,amplitude_sweep,Ton,m2_alt,2e-12,0.002 ns,m2_alt,0 0 0 0,2e-12 -2e-12 2e-12 -2e-12
ton_m2_alt_0.0050ns,900,120,2.0439655909092624,1.6321656909107305,1.632179188013721,3.49021707095837,0.2138396297872716,6.5537882878757925,0.32064083255728026,7.925929942363859e-05,0.07941195209149043,amplitude_sweep,Ton,m2_alt,5e-12,0.005 ns,m2_alt,0 0 0 0,5e-12 -5e-12 5e-12 -5e-12
ton_m2_alt_0.0100ns,900,120,4.100943970391937,3.2642487455019444,3.264358376027442,13.961024194849632,0.42769486284057195,26.2694481572918,0.6405707648520047,0.0003174073126457101,0.3181993369647529,amplitude_sweep,Ton,m2_alt,1e-11,0.01 ns,m2_alt,0 0 0 0,1e-11 -1e-11 1e-11 -1e-11
ton_m2_alt_0.0200ns,900,120,8.253523588839046,6.527796067509642,6.528716752054884,55.84650159528393,0.8555184784838017,105.58334606211383,1.2792517635121383,0.0012723856303189021,1.2802230641417722,amplitude_sweep,Ton,m2_alt,2e-11,0.02 ns,m2_alt,0 0 0 0,2e-11 -2e-11 2e-11 -2e-11
ton_m2_alt_0.0500ns,900,120,21.01259873263988,16.306899157014684,16.321791880137216,349.15682102864093,2.1411601167500036,669.3037383822095,3.185249701373433,0.007989975459902404,8.131162246382218,amplitude_sweep,Ton,m2_alt,5e-11,0.05 ns,m2_alt,0 0 0 0,5e-11 -5e-11 5e-11 -5e-11
ton_m2_alt_0.1000ns,900,120,43.23115456346919,32.52536320942303,32.64358376027443,1398.1944441230519,4.298781954010513,2732.4376456266423,6.320528963932836,0.03201691569086046,33.20972056392435,amplitude_sweep,Ton,m2_alt,1e-10,0.1 ns,m2_alt,0 0 0 0,1e-10 -1e-10 1e-10 -1e-10
ton_one_phase_0.0020ns,900,120,0.8185253578393121,0.3781884060906282,0.3775805016974675,0.6481461973178246,0.17138182632772309,1.9608220638629785,0.23955544505536444,8.193027487531437e-06,0.011253680861855742,amplitude_sweep,Ton,one_phase,2e-12,0.002 ns,one_phase,0 0 0 0,2e-12 -6.6666667e-13 -6.6666667e-13 -6.6666667e-13
ton_one_phase_0.0050ns,900,120,2.053710624743715,0.9477622270734917,0.9439512542436642,4.062913900168905,0.4286849363805524,12.299285305108949,0.5988811255550567,5.13855614152417e-05,0.07060513894785458,amplitude_sweep,Ton,one_phase,5e-12,0.005 ns,one_phase,0 0 0 0,5e-12 -1.6666667e-12 -1.6666667e-12 -1.6666667e-12
ton_one_phase_0.0100ns,900,120,4.132276829853024,1.9032101766010583,1.8879025084873284,16.31839921484138,0.8574144577129365,49.45415097581106,1.1967772976519107,0.00020666259431485756,0.28383448678503953,amplitude_sweep,Ton,one_phase,1e-11,0.01 ns,one_phase,0 0 0 0,1e-11 -3.3333333e-12 -3.3333333e-12 -3.3333333e-12
ton_one_phase_0.0200ns,900,120,8.365481020714912,3.8375284398187097,3.775805016974657,65.79051024633598,1.7143979850073507,199.83566296048738,2.388812579523484,0.0008355846488718177,1.14616021598124,amplitude_sweep,Ton,one_phase,2e-11,0.02 ns,one_phase,0 0 0 0,2e-11 -6.6666667e-12 -6.6666667e-12 -6.6666667e-12
ton_one_phase_0.0500ns,900,120,21.701687056776322,9.83455805252269,9.439512542436718,420.9344376123124,4.280156112397317,1287.573662390049,5.933057918591662,0.005393733636189897,7.367963379049769,amplitude_sweep,Ton,one_phase,5e-11,0.05 ns,one_phase,0 0 0 0,5e-11 -1.6666667e-11 -1.6666667e-11 -1.6666667e-11
ton_one_phase_0.1000ns,900,120,46.24897339862261,20.52247182171951,18.879025084873437,1750.342847402022,8.528908518464062,5420.746609850068,11.720793374435223,0.022772450093915944,30.88552896899266,amplitude_sweep,Ton,one_phase,1e-10,0.1 ns,one_phase,0 0 0 0,1e-10 -3.3333333e-11 -3.3333333e-11 -3.3333333e-11
mixed_m2_lambda_plus_one_phase_ton_5.00e-14_0.005ns,900,120,2.0867626212601214,0.9659400855222187,0.962052040763406,4.1510641636696555,0.4297434412223875,12.545470522193543,0.6011929864172947,5.233920276409912e-05,0.07196257776342918,amplitude_sweep,Mixed,m2_lambda_plus_one_phase_ton,0.5000249993750312,"Lambda=0.5e-13, Ton=0.005ns",one_phase,5e-14 -5e-14 5e-14 -5e-14,5e-12 -1.6666667e-12 -1.6666667e-12 -1.6666667e-12
mixed_m2_lambda_plus_one_phase_ton_5.00e-14_0.010ns,900,120,4.1655774827979934,1.9212968246249713,1.9058315369574652,16.494906669217002,0.8585298459771689,49.94899262146116,1.1990892698006117,0.0002085783681636151,0.28656014247019357,amplitude_sweep,Mixed,m2_lambda_plus_one_phase_ton,0.5000999900019995,"Lambda=0.5e-13, Ton=0.01ns",one_phase,5e-14 -5e-14 5e-14 -5e-14,1e-11 -3.3333333e-12 -3.3333333e-12 -3.3333333e-12
mixed_m2_lambda_plus_one_phase_ton_5.00e-14_0.020ns,900,120,8.39928762362187,3.8556910075280415,3.7936469400617723,66.14579930113138,1.7155368304147054,200.83645456812107,2.3911129558570594,0.0008394610112920572,1.1516645268283554,amplitude_sweep,Mixed,m2_lambda_plus_one_phase_ton,0.5003998401278722,"Lambda=0.5e-13, Ton=0.02ns",one_phase,5e-14 -5e-14 5e-14 -5e-14,2e-11 -6.6666667e-12 -6.6666667e-12 -6.6666667e-12
mixed_m2_lambda_plus_one_phase_ton_1.00e-13_0.005ns,900,120,2.1198154097359745,0.9847801816433136,0.9808205704732516,4.240161430086494,0.43056933000122827,12.792447698727566,0.6034698889334369,5.329990426631778e-05,0.07332706618257134,amplitude_sweep,Mixed,m2_lambda_plus_one_phase_ton,1.000012499921876,"Lambda=1e-13, Ton=0.005ns",one_phase,1e-13 -1e-13 1e-13 -1e-13,5e-12 -1.6666667e-12 -1.6666667e-12 -1.6666667e-12
mixed_m2_lambda_plus_one_phase_ton_1.00e-13_0.010ns,900,120,4.198878936521771,1.939721336753432,1.924104081526812,16.672386468286508,0.8595248272203658,50.4446350459153,1.2013834122996214,0.00021050120094179975,0.2892928211633006,amplitude_sweep,Mixed,m2_lambda_plus_one_phase_ton,1.0000499987500624,"Lambda=1e-13, Ton=0.01ns",one_phase,1e-13 -1e-13 1e-13 -1e-13,1e-11 -3.3333333e-12 -3.3333333e-12 -3.3333333e-12
mixed_m2_lambda_plus_one_phase_ton_1.00e-13_0.020ns,900,120,8.433095044990983,3.874022080409977,3.8116630739149304,66.50207367994399,1.7166157626263778,201.8380646379184,2.3934043617568905,0.0008433444173793006,1.157175836725699,amplitude_sweep,Mixed,m2_lambda_plus_one_phase_ton,1.000199980003999,"Lambda=1e-13, Ton=0.02ns",one_phase,1e-13 -1e-13 1e-13 -1e-13,2e-11 -6.6666667e-12 -6.6666667e-12 -6.6666667e-12
mixed_m2_lambda_plus_one_phase_ton_2.00e-13_0.005ns,900,120,2.1859233608018656,1.0242996405475946,1.0202121479619488,4.42100290996875,0.43161226802786584,13.288776165969477,0.6079250720434561,5.524248555473406e-05,0.07607714339741278,amplitude_sweep,Mixed,m2_lambda_plus_one_phase_ton,2.0000062499902342,"Lambda=2e-13, Ton=0.005ns",one_phase,2e-13 -2e-13 2e-13 -2e-13,5e-12 -1.6666667e-12 -1.6666667e-12 -1.6666667e-12
