controller_mode,base_load_A,target_load_A,ref_slew_us,time_us,vout_V
dynamic_refslew,40,20,20,-3.16199999999997,0.999447287934985
dynamic_refslew,40,20,20,-3.07599999999997,0.999254062243666
dynamic_refslew,40,20,20,-2.99199999999995,0.999292669247889
dynamic_refslew,40,20,20,-2.90599999999995,0.999580965210583
dynamic_refslew,40,20,20,-2.82199999999998,0.999730063089155
dynamic_refslew,40,20,20,-2.73599999999998,0.999576792429293
dynamic_refslew,40,20,20,-2.65199999999996,0.999406036194637
dynamic_refslew,40,20,20,-2.56599999999996,0.999209422459889
dynamic_refslew,40,20,20,-2.48199999999994,0.999409551474033
dynamic_refslew,40,20,20,-2.39599999999994,0.999713877181968
dynamic_refslew,40,20,20,-2.31199999999997,0.99971737691021
dynamic_refslew,40,20,20,-2.22599999999998,0.999560903110351
dynamic_refslew,40,20,20,-2.14199999999995,0.999387033594371
dynamic_refslew,40,20,20,-2.05599999999995,0.999277633012371
dynamic_refslew,40,20,20,-1.96999999999996,0.999561643524411
dynamic_refslew,40,20,20,-1.88599999999993,0.999865671704915
dynamic_refslew,40,20,20,-1.79999999999994,0.999722847541283
dynamic_refslew,40,20,20,-1.71599999999997,0.999566505632617
dynamic_refslew,40,20,20,-1.62999999999997,0.999384923455678
dynamic_refslew,40,20,20,-1.54599999999995,0.99918631473932
dynamic_refslew,40,20,20,-1.45999999999995,0.999386751362457
dynamic_refslew,40,20,20,-1.37599999999998,0.999678168930798
dynamic_refslew,40,20,20,-1.28999999999998,0.99967201076407
dynamic_refslew,40,20,20,-1.20599999999996,0.99951274900718
dynamic_refslew,40,20,20,-1.11999999999996,0.999328192927436
dynamic_refslew,40,20,20,-1.03599999999994,0.999217210241269
dynamic_refslew,40,20,20,-0.949999999999942,0.999495006738431
dynamic_refslew,40,20,20,-0.865999999999974,0.9997930130037
dynamic_refslew,40,20,20,-0.779999999999976,0.999644172184603
dynamic_refslew,40,20,20,-0.695999999999954,0.99948186885274
dynamic_refslew,40,20,20,-0.609999999999955,0.999294214385352
dynamic_refslew,40,20,20,-0.525999999999934,0.999338137210608
dynamic_refslew,40,20,20,-0.439999999999935,0.999631937530168
dynamic_refslew,40,20,20,-0.355999999999967,0.999786291466467
dynamic_refslew,40,20,20,-0.269999999999969,0.999638458812908
dynamic_refslew,40,20,20,-0.185999999999947,0.999472987349771
dynamic_refslew,40,20,20,-0.0999999999999482,0.999282105106786
dynamic_refslew,40,20,20,-0.0159999999999809,0.999451323185512
dynamic_refslew,40,20,20,0.070000000000018,1.00175222613414
dynamic_refslew,40,20,20,0.156000000000017,1.00202516700122
dynamic_refslew,40,20,20,0.240000000000038,1.00210821819764
dynamic_refslew,40,20,20,0.326000000000037,1.00217160234556
dynamic_refslew,40,20,20,0.410000000000059,1.0022124714573
dynamic_refslew,40,20,20,0.496000000000058,1.00223287491626
dynamic_refslew,40,20,20,0.580000000000025,1.00223196370367
dynamic_refslew,40,20,20,0.666000000000024,1.00220979752308
dynamic_refslew,40,20,20,0.750000000000045,1.0021675071994
dynamic_refslew,40,20,20,0.836000000000044,1.00210318185494
dynamic_refslew,40,20,20,0.920000000000066,1.00201991305983
dynamic_refslew,40,20,20,1.00600000000006,1.00191383842643
dynamic_refslew,40,20,20,1.09000000000003,1.00178999119967
dynamic_refslew,40,20,20,1.17600000000003,1.00164257652482
dynamic_refslew,40,20,20,1.26000000000005,1.00147855028038
dynamic_refslew,40,20,20,1.34600000000005,1.00129020415771
dynamic_refslew,40,20,20,1.43000000000002,1.00108639489605
dynamic_refslew,40,20,20,1.51600000000002,1.00085752537122
dynamic_refslew,40,20,20,1.60000000000004,1.00061433701313
dynamic_refslew,40,20,20,1.68600000000004,1.0003453515538
dynamic_refslew,40,20,20,1.77000000000006,1.00006317883046
dynamic_refslew,40,20,20,1.85600000000006,0.999754483989673
dynamic_refslew,40,20,20,1.94000000000003,0.999814507572092
dynamic_refslew,40,20,20,2.02600000000002,1.00000606373164
dynamic_refslew,40,20,20,2.11200000000002,1.00000332416007
dynamic_refslew,40,20,20,2.19600000000004,0.999755709916794
dynamic_refslew,40,20,20,2.28200000000004,0.999482232272369
dynamic_refslew,40,20,20,2.36600000000006,0.999256530695293
dynamic_refslew,40,20,20,2.45200000000006,0.999444917696753
dynamic_refslew,40,20,20,2.53600000000003,0.999666129872588
dynamic_refslew,40,20,20,2.62200000000003,0.999534043604421
dynamic_refslew,40,20,20,2.70600000000005,0.999301176066548
dynamic_refslew,40,20,20,2.79200000000005,0.999042732717154
dynamic_refslew,40,20,20,2.87600000000002,0.998988482698749
dynamic_refslew,40,20,20,2.96200000000002,0.999210774770623
dynamic_refslew,40,20,20,3.04600000000004,0.999400832268676
dynamic_refslew,40,20,20,3.13200000000004,0.99919671037805
dynamic_refslew,40,20,20,3.21600000000006,0.998977987781882
dynamic_refslew,40,20,20,3.30200000000006,0.998733962961518
dynamic_refslew,40,20,20,3.38600000000002,0.998856692665234
dynamic_refslew,40,20,20,3.47200000000002,0.99911231770673
dynamic_refslew,40,20,20,3.55600000000005,0.999177371070551
dynamic_refslew,40,20,20,3.64200000000004,0.998987565493007
dynamic_refslew,40,20,20,3.72600000000007,0.998782382768542
dynamic_refslew,40,20,20,3.81200000000006,0.998599847474505
dynamic_refslew,40,20,20,3.89600000000003,0.998837297296403
dynamic_refslew,40,20,20,3.98200000000003,0.999123357627237
dynamic_refslew,40,20,20,4.06800000000003,0.999050140056234
dynamic_refslew,40,20,20,4.15200000000005,0.998875261126607
dynamic_refslew,40,20,20,4.23800000000005,0.998675906939944
dynamic_refslew,40,20,20,4.32200000000002,0.998655654587182
dynamic_refslew,40,20,20,4.40800000000002,0.99893364297526
dynamic_refslew,40,20,20,4.49200000000004,0.999177150481351
dynamic_refslew,40,20,20,4.57800000000004,0.999028046989547
dynamic_refslew,40,20,20,4.66200000000006,0.998862868878069
dynamic_refslew,40,20,20,4.74800000000006,0.998673398937835
dynamic_refslew,40,20,20,4.83200000000002,0.998814382590338
dynamic_refslew,40,20,20,4.91800000000002,0.999120007570851
dynamic_refslew,40,20,20,5.00200000000004,0.999232943568887
dynamic_refslew,40,20,20,5.08800000000004,0.99909257045382
dynamic_refslew,40,20,20,5.17200000000007,0.998935438952284
dynamic_refslew,40,20,20,5.25800000000006,0.99877788834018
dynamic_refslew,40,20,20,5.34200000000003,0.999059981098335
dynamic_refslew,40,20,20,5.42800000000003,0.999391522853875
