success,source_grid,target_load_A,ref_slew_us,undershoot_mV,final_vout_error_mV,skip_count_est,settle_time_us,final_phase_spacing_std_ns,tradeoff_score,score_settle005,score_settle010,target_label,load_drop_A,load_drop_norm,objective,alpha_settle,objective_score,t_scaled,phase_std_scaled,settle_scaled,skip_risk,bias,t2,alpha_t,alpha_t2,drop_t,drop_t2,is_20A,is_10A,is_near0A,skip_t,phase_t,settle_alpha
True,fine,20.0,38,1.21068108454891,-0.432664777242242,0,0.938000000000024,36.3447339051344,2.37024053989385,2.4171405398938512,2.4640405398938525,20A,20.0,0.5,score_settle010,0.1,2.4640405398938525,-0.55,0.36344733905134397,0.01876000000000048,0,1.0,0.30250000000000005,-0.05500000000000001,0.030250000000000006,-0.275,0.15125000000000002,1.0,0.0,0.0,-0.0,-0.1998960364782392,0.0018760000000000482
True,dense_long,20.0,40,1.19940112760242,-0.43379596481008,0,0.938000000000024,43.3359485758766,2.49991606393003,2.54681606393003,2.59371606393003,20A,20.0,0.5,score_settle010,0.1,2.59371606393003,-0.5,0.433359485758766,0.01876000000000048,0,1.0,0.25,-0.05,0.025,-0.25,0.125,1.0,0.0,0.0,-0.0,-0.216679742879383,0.0018760000000000482
True,dense_long,20.0,50,1.16345388449934,-0.432349776644747,1,0.938000000000024,36.4937986024832,4.32567963319376,4.37257963319376,4.41947963319376,20A,20.0,0.5,score_settle010,0.1,4.41947963319376,-0.25,0.364937986024832,0.01876000000000048,1,1.0,0.0625,-0.025,0.00625,-0.125,0.03125,1.0,0.0,0.0,-0.25,-0.091234496506208,0.0018760000000000482
True,dense_long,20.0,60,1.12582319014076,-0.437496606727428,1,10.062,36.9127241807925,4.30157428048404,4.80467428048404,5.30777428048404,20A,20.0,0.5,score_settle010,0.1,5.30777428048404,0.0,0.369127241807925,0.20123999999999997,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.020124
True,fine,20.0,62,1.12582319014076,-0.431991539624477,1,10.0880000000001,35.9008776475458,4.27583228271616,4.780232282716165,5.284632282716171,20A,20.0,0.5,score_settle010,0.1,5.284632282716171,0.05,0.359008776475458,0.20176000000000202,1,1.0,0.0025000000000000005,0.005000000000000001,0.00025000000000000006,0.025,0.0012500000000000002,1.0,0.0,0.0,0.05,0.0179504388237729,0.020176000000000204
True,fine,20.0,64,1.12582319014076,-0.440134472450837,1,10.0880000000001,37.8563112255317,4.32308388710223,4.827483887102235,5.33188388710224,20A,20.0,0.5,score_settle010,0.1,5.33188388710224,0.1,0.37856311225531697,0.20176000000000202,1,1.0,0.010000000000000002,0.010000000000000002,0.0010000000000000002,0.05,0.005000000000000001,1.0,0.0,0.0,0.1,0.0378563112255317,0.020176000000000204
True,fine,20.0,66,1.11287107294222,-0.438293838860404,0,0.938000000000024,40.007102545006,2.35130696270275,2.3982069627027514,2.4451069627027526,20A,20.0,0.5,score_settle010,0.1,2.4451069627027526,0.15,0.40007102545006,0.01876000000000048,0,1.0,0.0225,0.015,0.00225,0.075,0.01125,1.0,0.0,0.0,0.0,0.060010653817509,0.0018760000000000482
True,fine,20.0,68,1.11287107294222,-0.456637987924613,0,12.2440000000001,52.0238557241504,2.60998617534984,3.222186175349845,3.83438617534985,20A,20.0,0.5,score_settle010,0.1,3.83438617534985,0.2,0.520238557241504,0.24488000000000198,0,1.0,0.04000000000000001,0.020000000000000004,0.004000000000000001,0.1,0.020000000000000004,1.0,0.0,0.0,0.0,0.10404771144830081,0.0244880000000002
True,fine,20.0,70,1.11287107294222,-0.430205692594554,0,14.372,36.8765824996862,2.2806084155305,2.9992084155305,3.7178084155305005,20A,20.0,0.5,score_settle010,0.1,3.7178084155305005,0.25,0.368765824996862,0.28744,0,1.0,0.0625,0.025,0.00625,0.125,0.03125,1.0,0.0,0.0,0.0,0.0921914562492155,0.028744
True,dense_long,20.0,80,1.0943598016524,-0.435550987461508,0,14.41,37.1400221295455,2.27271123170482,2.99321123170482,3.71371123170482,20A,20.0,0.5,score_settle010,0.1,3.71371123170482,0.5,0.371400221295455,0.2882,0,1.0,0.25,0.05,0.025,0.25,0.125,1.0,0.0,0.0,0.0,0.1857001106477275,0.028820000000000002
