case,omega_over_pi,frequency_domain,events,burn,blocks,burn_blocks,lambda_amp_si,ton_amp_s,wait_exact_amp_ns,wait_pred_amp_ns,wait_amp_abs_error_ns,wait_amp_error_pct,wait_phase_exact_deg,wait_phase_pred_deg,wait_phase_error_deg,wait_rms_error_ps,wait_rms_error_pct,wait_observable,current_exact_amp_mA,current_pred_amp_mA,current_amp_abs_error_mA,current_amp_error_pct,current_phase_error_deg,current_rms_error_mA,current_observable,dataset,input_type,lambda_pattern,ton_pattern,projection_pattern
lambda_m1_cos_w0.005,0.005,four_event_lifted_block,6144,1024,1536,256,1e-13,0.0,0.05718915612506013,0.057189155129168605,-9.95891523721685e-10,-1.7413992248194177e-06,-138.27476724571807,-138.27478551791526,-1.8272197182365824e-05,1.4537952783553134e-05,3.520694014214587e-05,1,0.11493244464243675,0.11493256842587062,1.2378343386106397e-07,0.00010770103624491156,-6.608309991079314e-05,1.3508990624956177e-07,1,frequency_response,Lambda,m1_cos,,m1_cos
lambda_m1_cos_w0.010,0.01,four_event_lifted_block,6144,1024,1536,256,1e-13,0.0,0.05240052186990968,0.05240051842591954,-3.4439901390225194e-09,-6.5724348075058e-06,94.10756235876062,94.10755700828474,-5.350475861395368e-06,1.1387192287812195e-05,3.092948619322317e-05,1,0.06856946570556761,0.06856949197206176,2.626649414736327e-08,3.8306400496068704e-05,-4.892400659007546e-05,6.766149403159623e-08,1,frequency_response,Lambda,m1_cos,,m1_cos
lambda_m1_cos_w0.020,0.02,four_event_lifted_block,6144,1024,1536,256,1e-13,0.0,0.05045086084072435,0.05045085902040523,-1.8203191240997714e-09,-3.608103193997181e-06,-162.3574106906123,-162.35741120748148,-5.168691423965164e-07,1.7344843075850247e-05,4.840237430261145e-05,1,0.03608126041356532,0.03608126360908334,3.1955180214708785e-09,8.856447886174124e-06,-2.794017693048626e-05,4.901056575280103e-08,1,frequency_response,Lambda,m1_cos,,m1_cos
lambda_m1_cos_w0.050,0.05,four_event_lifted_block,6144,1024,1536,256,1e-13,0.0,0.049791162034511484,0.0497911617398501,-2.9466138619328513e-10,-5.917945578026718e-07,141.9817083522746,141.98170827377004,-7.850458798062846e-08,3.9631341678231864e-05,0.00011256451424867919,1,0.014651686482397187,0.014651686560516847,7.811965999212842e-11,5.331786123718985e-07,-1.11976922414413e-05,2.063467003644535e-08,1,frequency_response,Lambda,m1_cos,,m1_cos
lambda_m1_cos_w0.100,0.1,four_event_lifted_block,6144,1024,1536,256,1e-13,0.0,0.04957861450222794,0.049578614412527894,-8.970004723661852e-11,-1.8092487508170052e-07,-73.65365361966661,-73.65365359564422,2.4022411453625795e-08,8.249376301753179e-05,0.0002353107262099174,1,0.007327217870164098,0.00732721771254457,-1.5761952798455572e-10,-2.1511511016925056e-06,-4.752803849483179e-06,6.657567763908644e-08,1,frequency_response,Lambda,m1_cos,,m1_cos
lambda_m1_cos_w0.200,0.2,four_event_lifted_block,6144,1024,1536,256,1e-13,0.0,0.049125026710355416,0.04912502669048035,-1.9875062781072266e-11,-4.0458125738496165e-08,-145.94492881533222,-145.94492885009882,-3.47665923342028e-08,0.000181774126655734,0.0005232922037152277,1,0.0036465893288070827,0.003646589364487007,3.5679924167514266e-11,9.784464571893636e-07,-3.156508364960905e-06,3.394965467021327e-07,1,frequency_response,Lambda,m1_cos,,m1_cos
lambda_m1_cos_w0.350,0.35,four_event_lifted_block,6144,1024,1536,256,1e-13,0.0,0.048236698506714,0.048236698484697915,-2.2016077624997995e-11,-4.564175704047102e-08,-74.28749585164856,-74.28749586586298,-1.4214420482428216e-08,0.0003497214135147669,0.0010253205155146417,1,0.0020768015137310877,0.0020768014590475475,-5.4683540325967594e-11,-2.6330653102313306e-06,-2.1512819717765712e-06,9.323138027496117e-07,1,frequency_response,Lambda,m1_cos,,m1_cos
lambda_m1_cos_w0.500,0.5,four_event_lifted_block,6144,1024,1536,256,1e-13,0.0,0.04738805041419691,0.04738805038255502,-3.1641881478049545e-11,-6.677185471204439e-08,-2.154141544484737,-2.154141547979541,-3.494804218364162e-09,0.000530402870385722,0.0015828946876091162,1,0.0014767078336751739,0.0014767077686697182,-6.5005455657363e-11,-4.402052600216422e-06,3.167170322141857e-06,1.4594999371599665e-06,1,frequency_response,Lambda,m1_cos,,m1_cos
lambda_m1_cos_w0.700,0.7,four_event_lifted_block,6144,1024,1536,256,1e-13,0.0,0.046588531137969943,0.0465885311124118,-2.5558142556132487e-11,-5.485930598680966e-08,-145.4655175145743,-145.46551752333377,-8.759502037125043e-09,0.0006387936518834548,0.0019390837696300711,1,0.0011276162175378568,0.001127616165980044,-5.15578125677462e-11,-4.5722837072048605e-06,-2.9119472969498785e-06,1.9994942944847162e-06,1,frequency_response,Lambda,m1_cos,,m1_cos
lambda_m1_cos_w0.850,0.85,four_event_lifted_block,6144,1024,1536,256,1e-13,0.0,0.04626491998631855,0.04626491996420074,-2.2117807915644947e-11,-4.7806869574174016e-08,-72.76157637469198,-72.76157637878724,-4.095269485633699e-09,0.0007011497363320889,0.002143255551740403,1,0.00101656900536962,0.001016568980035537,-2.533408311997424e-11,-2.4921164243352223e-06,4.6449943940006694e-07,2.2112426795558713e-06,1,frequency_response,Lambda,m1_cos,,m1_cos
lambda_m2_alt_w0.005,0.005,four_event_lifted_block,6144,1024,1536,256,1e-13,0.0,0.05769956873449469,0.057699565489146405,-3.245348278999999e-09,-5.6245624491246815e-06,-136.57406802079154,-136.574083785846,-1.5765054448166027e-05,1.3923263208503255e-05,3.340283634127028e-05,1,0.10099411909796702,0.10099422959292674,1.1049495972598015e-07,0.00010940732064756986,-8.782228634623677e-05,1.3543864125486151e-07,1,frequency_response,Lambda,m2_alt,,m2_alt
lambda_m2_alt_w0.010,0.01,four_event_lifted_block,6144,1024,1536,256,1e-13,0.0,0.054079593117907984,0.054079590074320893,-3.0435870885757984e-09,-5.627977051059219e-06,95.67575818595486,95.6757539187321,-4.267222764932405e-06,1.376847388777773e-05,3.624310947642051e-05,1,0.05927224730134076,0.05927227087353384,2.357219307984673e-08,3.9769359450048114e-05,-5.968099624499342e-05,5.3323284112176396e-08,1,frequency_response,Lambda,m2_alt,,m2_alt
lambda_m2_alt_w0.020,0.02,four_event_lifted_block,6144,1024,1536,256,1e-13,0.0,0.05263442881212636,0.05263442702994112,-1.7821852512934186e-09,-3.3859686388026944e-06,-161.35960986545794,-161.3596101679484,-3.024904442017681e-07,2.3462282731361736e-05,6.274935415819587e-05,1,0.031029192792143594,0.031029195212742833,2.4205992367313557e-09,7.801038370836011e-06,-3.330718006083954e-05,2.2590634465185375e-08,1,frequency_response,Lambda,m2_alt,,m2_alt
lambda_m2_alt_w0.050,0.05,four_event_lifted_block,6144,1024,1536,256,1e-13,0.0,0.05215298100987509,0.05215298074332429,-2.6655079044901274e-10,-5.110940670682851e-07,142.56844932482298,142.56844927724538,-4.7577586702325876e-08,5.6969199932878856e-05,0.0001544813177282152,1,0.012604824825491539,0.012604824888564726,6.307318694566931e-11,5.003892411536981e-07,-1.3573663430023488e-05,1.2004045444427577e-08,1,frequency_response,Lambda,m2_alt,,m2_alt
lambda_m2_alt_w0.100,0.1,four_event_lifted_block,6144,1024,1536,256,1e-13,0.0,0.05201433615005422,0.05201433608684037,-6.321384680729275e-11,-1.2153158479577542e-07,-73.06954134973036,-73.06954135746385,-7.733493263541089e-09,0.00011691098310542536,0.0003178683198633107,1,0.006323285728906982,0.006323285596397451,-1.3250953187770058e-10,-2.0955803314848254e-06,-5.683509286703199e-06,7.907605801485099e-08,1,frequency_response,Lambda,m2_alt,,m2_alt
