case,severity,tau_ai_us,delay_events,update_us,update_events,policy,seed,reward,max_abs_v_mV,max_abs_phase_ns,max_abs_i_mA,violations,skip_events,projected_count,control_energy,tail_state_cost_mean,tail_abs_phase_ns_mean,tail_abs_i_mA_mean,settle_us,final_abs_v_mV,final_abs_phase_ns,final_abs_i_mA
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,8,-46.20520328503516,5.344956434728272,98.31678603409433,262.36126520022543,0,0,0,0.0,0.09893724801472953,5.4977029183022506,5.456931909803897,41.0,0.06360457537678121,0.6173824627665269,0.280613234329516
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,9,-52.94975376902637,5.76536646568637,106.21424953539501,252.02791005352185,0,0,0,0.0,0.11250660943545099,5.646640551408638,3.650567078945011,42.5,0.05859266181774849,0.9406809718613551,1.665186240146377
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,10,-49.779217197728336,5.740400626456123,101.3748767987778,282.636815993868,0,0,0,0.0,0.10252237751019523,5.03797511723874,5.656798579963512,40.5,0.06808571964762691,0.6078094039473911,5.4839973225593965
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,11,-64.55604324063493,6.109681837943979,111.79873770154981,352.8652377505076,0,1,0,0.0,0.13913177369475424,5.933794742545609,4.670692623945455,48.5,0.24671920123877172,0.6318051548989143,5.902341849534324
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,12,-69.61474674982915,6.860475716736938,110.23071646152451,335.9555947450969,0,0,0,0.0,0.1549504242751907,5.9880615854824555,5.076926787096461,48.0,0.0036078924458715633,0.29949498834133065,1.9041643803221695
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,13,-72.31459300875535,7.777460035218376,89.60834044900983,343.5322391358096,0,0,0,0.0,0.1702024766787301,5.303615899327374,3.901547665087135,49.0,0.0653003888535327,0.13701710428302086,4.027379388365892
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,14,-58.289815657436044,6.5088177219946415,100.10262915820634,254.92783834683027,0,0,0,0.0,0.12962573355377272,5.40382780799593,5.124959940598942,48.0,0.017369393998315295,0.24896634610333834,1.6047135441523301
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,15,-57.3326415159449,6.0150387196666495,100.31726141840143,323.7878424880133,0,0,0,0.0,0.1296559185227194,5.727502066001894,5.604939021126508,46.5,0.24237035934073195,0.7552395341605352,6.956178281679679
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,16,-66.85340075728827,6.670726077767708,108.15391743709918,346.3773943128315,0,0,0,0.0,0.14864590915911657,6.432725315332818,7.274525106376923,48.0,0.07412754211739278,0.6867591478410312,0.14155760427664366
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,17,-65.87756518035297,6.99180623376671,106.6921563832309,291.10099696612735,0,0,0,0.0,0.1443263058979246,5.603155341436924,3.6345713141126157,46.0,0.03580743141974564,0.22001110005434338,4.68616810554234
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,18,-60.456075633360385,6.5882471830736336,99.34951614054789,333.5845280274793,0,0,0,0.0,0.13158113045653844,5.662436438678537,5.3834460729497176,45.0,0.11222429762345532,0.2910471799432921,0.3453375486242351
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,19,-64.70372733127991,6.490546715260142,109.97039346016106,324.5550118226212,0,0,0,0.0,0.14094757658190998,6.1739234903964775,4.330447666637469,46.0,0.07226346337157316,0.06356228857475182,2.180397520144262
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,20,-67.61206354291457,6.695389052541392,111.01837550743855,358.8903841866333,0,0,0,0.0,0.14561284172052658,6.0874775469059985,6.465074556278108,45.0,0.08820351299681872,0.5116051736761559,2.5443245697711063
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,21,-60.32905023207938,6.519177056870798,112.55338654071728,247.47840669410863,0,0,0,0.0,0.1255043363353947,5.541642640831061,5.720196925927901,41.5,0.2451221626013103,1.0585858187308814,2.362218274317274
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,22,-50.20399458711337,5.535818554335094,98.97995254952232,264.4205847880291,0,0,0,0.0,0.1119622667630097,5.377336555340205,7.322715181787255,44.0,0.11651001408210454,1.0906718402805224,9.08908857876711
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,23,-65.51107608444175,6.796287422214963,106.08800304609737,307.9703504246716,0,0,0,0.0,0.14466844485548272,5.6878130660126525,4.843619501943903,48.0,0.21830569175567868,0.5737384465027605,4.274563267972773
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,24,-63.84446177066409,7.0933605641686555,106.71545292350504,269.2953443909678,0,0,0,0.0,0.13567167950984768,5.170358676470174,5.092551226513989,45.0,0.06634051800385209,0.7191578820445965,2.9433745319212226
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,25,-63.81381511724869,6.698779656928463,104.97517315867074,291.39406928380697,0,0,0,0.0,0.14182053672187286,5.6807541598649145,5.223663360041574,47.0,0.29408470545805926,0.04555084882038153,0.6418000391720056
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,26,-53.291159292411535,5.7880374544123665,89.90602384693999,350.40621013029244,0,0,0,0.0,0.12350098203675637,5.546143127759765,6.869061728082867,45.0,0.14912592260650004,1.0204882895513778,10.439106136422087
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,27,-74.92030361687677,7.484367639105638,108.88451008943045,343.7708395549321,0,0,0,0.0,0.16688198457536554,6.204731036147755,4.523160565659137,48.5,0.22016362268482487,0.577023815129633,3.658320036251512
