area_bits,detect_clock_ns,ton_resolution_ps,comp_delay_sigma_ns,seeds,wait_jitter_rms_ns_mean,wait_jitter_rms_ns_p95,wait_jitter_rms_ns_max,phase_spacing_std_ns_mean,phase_spacing_std_ns_p95,phase_spacing_std_ns_max,current_share_rms_mA_mean,current_share_rms_mA_p95,current_share_rms_mA_max,current_share_pkpk_mA_mean,current_share_pkpk_mA_p95,current_share_pkpk_mA_max,current_snapshot_rms_mA_mean,current_snapshot_rms_mA_p95,current_snapshot_rms_mA_max,vout_event_rms_mV_mean,vout_event_rms_mV_p95,vout_event_rms_mV_max,vout_event_pkpk_mV_mean,vout_event_pkpk_mV_p95,vout_event_pkpk_mV_max
10,1.0,10,0.0,16,0.36676914536129257,0.3765280771972967,0.38022597818939885,0.3667985349534192,0.376422124238857,0.38023843331385565,0.41098954712315305,0.6148536866217715,0.6231938515828036,1.0676030736447295,1.6185838713069778,1.7198293516784702,2833.485135715469,2833.487787021655,2833.488036855452,0.010342510295368049,0.01552728709201569,0.01601756217350337,0.04229320383024315,0.05701177921516032,0.05883473934242822
10,1.0,10,0.5,16,0.6678452763068056,0.698558488817471,0.703495208051889,0.6678408741625547,0.6986442999604723,0.7034192870972813,0.5077154651310194,0.9030105281906902,0.9637366449114373,1.2740954325171083,2.1996959149253037,2.420900121329339,2833.485009134716,2833.48651164912,2833.4866079415087,0.016046641547870215,0.02577282529125985,0.031004151926057093,0.06550713911127742,0.09451656681347398,0.10488843281653004
10,1.0,10,1.0,16,1.165410254757406,1.2305218412597074,1.24204974814881,1.1653921746839144,1.2305870299243835,1.2419324615427965,0.5214919140557449,0.980476518330285,1.027507495409248,1.317136541017172,2.3335703023770193,2.6214709937573133,2833.4849884135065,2833.486549851403,2833.486727309674,0.029117132636316084,0.050556529530921754,0.05087286419611705,0.11794874680436107,0.1756109320436572,0.185281444079477
10,1.0,10,2.0,16,2.2337556820760387,2.3650284263497547,2.392524040897469,2.233730030476559,2.3650796412710324,2.3923860729764295,0.582746010618,1.1417460913343154,1.1651543801090327,1.4809953227238326,2.7667061991119013,3.0225572728230787,2833.4849551873094,2833.4868571723655,2833.4869675576992,0.05683216233695492,0.09373257925437117,0.10539179255244921,0.22900721908342137,0.3237036093859391,0.3731708194640859
10,1.0,20,0.0,16,0.38588363948107623,0.40945785167799154,0.420753059970161,0.3859662464915031,0.40925496678435563,0.4208098043063809,0.8203926131753498,1.2352242340343254,1.2838269482767652,2.1232862137248176,3.290050414419543,3.4226332138374005,2833.485391738268,2833.490813842671,2833.4913261961037,0.01031041223581626,0.015363544710147767,0.01586108353424485,0.04215897867375362,0.0573121032094448,0.057966850992685615
10,1.0,20,0.5,16,0.6813342047844714,0.7072065377249859,0.7151567850340843,0.6813275032976217,0.7073928765692006,0.7150300776411733,1.0099555736344554,1.8061196254862208,1.8716532918831121,2.5261803038834074,4.457738002014988,4.814133971102308,2833.4852493826397,2833.488347131579,2833.488357336648,0.01606205152938899,0.025974046359910644,0.03140824213278707,0.06549733653780226,0.09492582801112759,0.10579362322171715
10,1.0,20,1.0,16,1.173021516919607,1.2355767460124822,1.2475031927748843,1.1729863465570678,1.235715997896342,1.247282642083926,1.0115539264379483,1.8501591008635496,1.93199618461584,2.539402859306761,4.377886355634519,5.014563607675271,2833.485227868382,2833.488399597158,2833.48848934447,0.029127639635005698,0.05089037247836896,0.05101999107957693,0.11791218087980893,0.17636635841036807,0.18540996467897308
10,1.0,20,2.0,16,2.2375450348898296,2.3677874872088074,2.394108354690812,2.237494147119627,2.3678946247566106,2.393839386090831,1.035846529291168,2.0051424194688967,2.0590253428717396,2.6181124311427384,4.71845522393366,5.415364923104349,2833.485193047585,2833.4885136711155,2833.48875487424,0.05684270047172699,0.09406296815225323,0.10553969622369129,0.2289646344445298,0.32446893576221214,0.3732828909048802
10,1.0,50,0.0,16,0.4965649471347488,0.5923033276110377,0.6254340599165268,0.49688739872723436,0.5919116703155013,0.6257025757825995,2.053263547330075,3.0971162135273302,3.268222723710249,5.2975827990239255,8.304847071356924,8.531223003545918,2833.4870829684914,2833.5010307051743,2833.501945032563,0.010251155657094049,0.014834466367427248,0.015352038348916288,0.04197276022041563,0.05622717094602714,0.05907371509417114
10,1.0,50,0.5,16,0.7688863774294621,0.8305543999578893,0.8571233857704553,0.7688972079128882,0.830171688646654,0.855694811129348,2.528380730770155,4.5374423590765085,4.5991252459216065,6.325919130753088,11.231170029466497,11.994635580165891,2833.4872353457927,2833.4950090474017,2833.4950117613776,0.01612681470998879,0.026515634307192663,0.03249382622504515,0.06554184620775894,0.09594836412576968,0.10836648221601575
10,1.0,50,1.0,16,1.2259064644993019,1.294579564146752,1.2962024101558793,1.2258311212146804,1.2939996286647588,1.2951953330420838,2.5246217112349787,4.502489494579747,4.657149561399055,6.32169471545041,11.151119117331465,12.194641870362233,2833.4872114556656,2833.49510614384,2833.495178050596,0.02915896913780725,0.05153438564137227,0.051910007992207484,0.11787883993110565,0.17831120619890561,0.18557055278967116
10,1.0,50,2.0,16,2.2652440748404845,2.385823481207095,2.414965552786075,2.265121380463455,2.386126020041574,2.4143493891459404,2.5231604777972962,4.616429144688368,4.776126016061754,6.3351293371152195,10.991062688279651,12.594589003890988,2833.4871718580307,2833.49530586343,2833.4955193882015,0.056864136463145615,0.09494712859020946,0.10592671556741032,0.2288941565910807,0.3264432445301835,0.3733940179184714
10,2.0,5,0.0,16,0.6594083126921584,0.6716004367830287,0.6734421149326385,0.6594158084932198,0.671624336336145,0.6735090810269782,0.21464628471280175,0.3037744990955078,0.3040261958984715,0.5531645688284792,0.7861059295870554,0.8586976728075513,2833.4850935329155,2833.486310120658,2833.486341273652,0.01896991603884394,0.027237714469563246,0.028596065248712697,0.07737448719983414,0.1015604018497207,0.10540616073173581
10,2.0,5,0.5,16,0.8680823810314999,0.9058847983457472,0.9062555515946907,0.8680831737256325,0.9058835697838887,0.9062288251326222,0.2761483112628756,0.4434453933774601,0.5088157026694675,0.6860164970398097,1.078364100906004,1.16164280697717,2833.4849907464613,2833.4857701297133,2833.4858017443066,0.020001219541244245,0.029668727006643993,0.03539954850324452,0.08212144940804994,0.11006140305161449,0.11889480588322954
10,2.0,5,1.0,16,1.2933275830071844,1.3535964319542404,1.372676230011225,1.2933211255307133,1.3536301587372495,1.3726249661992203,0.30817175707534356,0.5095892763205004,0.5821689029560672,0.7741353883412572,1.2793338846326385,1.3635455929925655,2833.4849707161247,2833.4857910580936,2833.4858140280735,0.031082771533417788,0.05167382323756447,0.05451750937765268,0.12726894443017278,0.18791084541169845,0.1928731551491536
