seed,area_bits,detect_clock_ns,ton_resolution_ps,comp_delay_sigma_ns,events,burn,q_lambda,q_lambda_over_nominal,wait_jitter_rms_ns,wait_jitter_pkpk_ns,phase_spacing_std_ns,phase_spacing_pkpk_ns,avg_phase_current_A,current_share_rms_mA,current_share_pkpk_mA,current_snapshot_rms_mA,current_m2_projection_mA,vout_event_rms_mV,vout_event_pkpk_mV
10,10,0.5,5,1.0,720,120,1.2390513629646364e-12,0.001953125,1.1494486709447818,7.186749657454651,1.149292367951344,7.189625697946218,10.00124 10.0004794 10.0000889 10.0006851,0.4154675344713511,1.1511267474855202,2833.485888689062,0.04109322863232734,0.028141324052734753,0.12855353490770494
11,10,0.5,5,1.0,720,120,1.2390513629646364e-12,0.001953125,1.0928560399426497,7.517829136403555,1.0928543929924466,7.520439735087228,10.00066 10.0005481 10.0001849 10.0002622,0.19620716467476768,0.47502452491166025,2833.484526986584,0.00865331864030594,0.02502945441041793,0.11606620780324484
12,10,0.5,5,1.0,720,120,1.2390513629646364e-12,0.001953125,1.0984179773623608,6.349616377491175,1.0982928370493539,6.350279281967746,9.99949578 9.99877076 9.9996803 9.99967935,0.37468337257914863,0.909539413685323,2833.4848310967786,0.18149313773418996,0.035983076197256034,0.1310698497860585
13,10,0.5,5,1.0,720,120,1.2390513629646364e-12,0.001953125,1.1361287660272186,7.088333802422297,1.1360786542917127,7.086305177522842,9.99963224 10.0004666 9.99963352 10.0001079,0.3509153065237786,0.8343783957851514,2833.4854946105097,-0.3272020094224892,0.028318855581043648,0.12382196859250794
14,10,0.5,5,1.0,720,120,1.2390513629646364e-12,0.001953125,1.119638148914948,6.834868773605612,1.1197435123119732,6.837188583706806,9.99936445 10.0001743 9.99994961 9.9998034,0.295836332992084,0.8098268127021413,2833.48420538944,-0.16590576873065643,0.017354434536268774,0.07114581005995824
15,10,0.5,5,1.0,720,120,1.2390513629646364e-12,0.001953125,1.1215710880437386,6.195654436508319,1.1215848597711577,6.193097674168123,10.0009539 9.99963286 10.0006209 9.99966305,0.5818477479980299,1.3210313474090185,2833.4844377671984,0.5697097957897412,0.020564102340119704,0.09204243058846817
0,10,0.5,5,2.0,720,120,1.2390513629646364e-12,0.001953125,2.201381125192883,13.242535025544571,2.201363515758027,13.245052429835539,9.99985458 10.0007858 10.0010654 10.0002014,0.4756470875517447,1.210850125060503,2833.4851775374973,-0.016813328841625008,0.06664724975052706,0.2916816894447116
1,10,0.5,5,2.0,720,120,1.2390513629646364e-12,0.001953125,2.1942323828024057,12.928271726481867,2.194284625409328,12.931234304644638,10.0010613 10.0015421 10.0009132 10.0005501,0.35583912421279823,0.992019581818937,2833.485597459656,-0.029417421473443284,0.05167357621623407,0.21270981963150692
2,10,0.5,5,2.0,720,120,1.2390513629646364e-12,0.001953125,2.139584243230772,14.757655252669265,2.1395971167642305,14.75962355666774,10.001873 10.0020724 10.0019137 10.0019811,0.07546413473353747,0.19934753676942307,2833.4857004978467,-0.06668258445019504,0.10617322760357636,0.3692009912197314
3,10,0.5,5,2.0,720,120,1.2390513629646364e-12,0.001953125,2.240795290374156,13.249334114970544,2.240839899087972,13.249797195763866,9.99954597 9.99932855 9.99938114 9.99874175,0.3038423034292724,0.804220163258762,2833.4854011309594,0.21420338216016077,0.03859161148130492,0.16995974150335602
4,10,0.5,5,2.0,720,120,1.2390513629646364e-12,0.001953125,2.1960348138341588,13.338999450958761,2.196009035394966,13.335883356446692,9.99957625 9.99982019 9.99897359 9.99935521,0.3112583347340124,0.8465912020234612,2833.4862214319005,-0.15638718954091857,0.05844122529801291,0.24165375797269295
5,10,0.5,5,2.0,720,120,1.2390513629646364e-12,0.001953125,2.1557095430492734,13.349447399568207,2.1556211364432394,13.346941579733349,9.99986331 10.0002967 10.0002011 10.0002529,0.17092433394528112,0.43341028580456964,2833.4843597102677,-0.1213063027836192,0.042403693183943145,0.16979670122174717
6,10,0.5,5,2.0,720,120,1.2390513629646364e-12,0.001953125,2.370245020497818,14.91030678097117,2.370173588362857,14.907433911961647,9.9993275 10.0001445 9.99931526 10.0002412,0.4370918426067659,0.9259054130605904,2833.4842293780675,-0.43573295417242974,0.05421683897260242,0.23148754442237074
7,10,0.5,5,2.0,720,120,1.2390513629646364e-12,0.001953125,2.1732164013558966,13.576505263819284,2.1732825988092337,13.577791242771793,10.000033 10.0013246 9.99941156 10.0008855,0.741884863598805,1.9130348544340592,2833.484091228562,-0.6913938060608693,0.08770423236117343,0.29995785516068185
8,10,0.5,5,2.0,720,120,1.2390513629646364e-12,0.001953125,2.335855904522926,15.11241261381322,2.335911370642782,15.115191367259634,10.0002711 10.0004778 10.0004307 10.0008791,0.2239091035864139,0.6080027354151696,2833.48320812262,-0.16378005175843313,0.03485776770219311,0.14234754514041992
