event_index,time_s,time_after_step_us,logical_slot,physical_phase,active_phase_set,REQ_in,REQ_accept,REQ_reject_reason,phase_idx_before,phase_idx_after,shed_state,window
115,0.0005116,61.6000000000001,1,1,1111,1,1,0,3,0,0,pre_shed
116,0.00051216,62.16,2,2,1111,1,1,0,0,1,0,pre_shed
117,0.00051268,62.6800000000001,3,3,1111,1,1,0,1,2,0,pre_shed
118,0.0005132,63.2,4,4,1111,1,1,0,2,3,0,pre_shed
119,0.00051372,63.7200000000001,1,1,1111,1,1,0,3,0,0,pre_shed
120,0.00051432,64.3200000000001,2,2,1111,1,1,0,0,1,0,pre_shed
121,0.000514802,64.8020000000001,3,3,1111,1,1,0,1,2,0,pre_shed
122,0.00051532,65.32,4,4,1111,1,1,0,2,3,0,pre_shed
123,0.00051588,65.88,1,1,1111,1,1,0,3,0,0,pre_shed
124,0.0005164,66.4000000000001,2,2,1111,1,1,0,0,1,0,pre_shed
125,0.000517,67,3,3,1111,1,1,0,1,2,0,pre_shed
126,0.000517482000000007,67.4820000000069,4,4,1111,1,1,0,2,3,0,pre_shed
127,0.00051804,68.04,1,1,1111,1,1,0,3,0,0,pre_shed
128,0.0005186,68.6,2,2,1111,1,1,0,0,1,0,pre_shed
129,0.000519082000000007,69.082000000007,3,3,1111,1,1,0,1,2,0,pre_shed
130,0.00051964,69.64,4,4,1111,1,1,0,2,3,0,pre_shed
